size,type,W,A,d,b,t,k,k_det,x,y,x_p,y_p,lamb,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,I_z,r_z,S_z,J,C_w,r_o,tan_alpha,I_w,z_A,z_B,z_C,w_A,w_B,w_C,S_wA,S_wC,S_zA,S_zB,S_zC,P_A,P_A2,P_B
L6X4X5/16,L,10.3 plf,3.03 in ** 2,4.0 in,6.0 in,0.313 in,0.813 in,0.8125 in,0.908 in,1.9 in,0.253 in,1.15 in,19.2,11.4 in ** 4,4.96 in ** 3,2.77 in ** 3,1.94 in,4.13 in ** 4,2.33 in ** 3,1.34 in ** 3,1.17 in,2.31 in ** 4,0.874 in,1.09 in ** 3,0.104 in ** 4,0.217 in ** 6,2.96 in,0.449,13.2 in ** 4,2.85 in,1.36 in,4.05 in,2.11 in,1.6 in,0.988 in,4.63 in ** 3,3.26 in ** 3,1.09 in ** 3,1.44 in ** 3,2.34 in ** 3,16.0 in,14.0 in,20.0 in
L6X3-1/2X1/2,L,15.3 plf,4.5 in ** 2,3.5 in,6.0 in,0.5 in,1.0 in,1.0 in,0.829 in,2.07 in,0.375 in,1.5 in,12,16.6 in ** 4,7.49 in ** 3,4.23 in ** 3,1.92 in,4.24 in ** 4,2.88 in ** 3,1.59 in ** 3,0.968 in,2.59 in ** 4,0.756 in,1.34 in ** 3,0.386 in ** 4,0.779 in ** 6,2.88 in,0.343,18.3 in ** 4,2.59 in,1.69 in,3.9 in,1.94 in,1.46 in,0.729 in,7.07 in ** 3,4.69 in ** 3,1.34 in ** 3,1.77 in ** 3,3.55 in ** 3,15.5 in,13.0 in,19.0 in
L6X3-1/2X3/8,L,11.7 plf,3.44 in ** 2,3.5 in,6.0 in,0.375 in,0.875 in,0.875 in,0.781 in,2.02 in,0.287 in,1.41 in,16,12.9 in ** 4,5.74 in ** 3,3.23 in ** 3,1.93 in,3.33 in ** 4,2.18 in ** 3,1.22 in ** 3,0.984 in,2.01 in ** 4,0.763 in,1.02 in ** 3,0.168 in ** 4,0.341 in ** 6,2.9 in,0.349,14.2 in ** 4,2.62 in,1.65 in,3.95 in,1.97 in,1.4 in,0.748 in,5.42 in ** 3,3.59 in ** 3,1.02 in ** 3,1.44 in ** 3,2.69 in ** 3,15.5 in,13.0 in,19.0 in
L6X3-1/2X5/16,L,9.8 plf,2.89 in ** 2,3.5 in,6.0 in,0.313 in,0.813 in,0.8125 in,0.756 in,2.0 in,0.241 in,1.38 in,19.2,10.9 in ** 4,4.84 in ** 3,2.72 in ** 3,1.94 in,2.84 in ** 4,1.82 in ** 3,1.03 in ** 3,0.991 in,1.7 in ** 4,0.767 in,0.859 in ** 3,0.099 in ** 4,0.201 in ** 6,2.92 in,0.352,12.0 in ** 4,2.65 in,1.64 in,3.97 in,1.98 in,1.38 in,0.764 in,4.53 in ** 3,3.02 in ** 3,0.859 in ** 3,1.23 in ** 3,2.23 in ** 3,15.5 in,13.0 in,19.0 in
L5X5X7/8,L,27.2 plf,8.0 in ** 2,5.0 in,5.0 in,0.875 in,1.38 in,1.375 in,1.56 in,1.56 in,0.8 in,0.8 in,5.71,17.8 in ** 4,9.31 in ** 3,5.16 in ** 3,1.49 in,17.8 in ** 4,9.31 in ** 3,5.16 in ** 3,1.49 in,7.6 in ** 4,0.971 in,3.44 in ** 3,2.07 in ** 4,3.53 in ** 6,2.64 in,1,28.0 in ** 4,3.23 in,0.0 in,3.23 in,1.64 in,2.21 in,1.64 in,8.67 in ** 3,8.67 in ** 3,4.63 in ** 3,3.44 in ** 3,4.63 in ** 3,15.0 in,15.0 in,20.0 in
L5X5X3/4,L,23.6 plf,6.98 in ** 2,5.0 in,5.0 in,0.75 in,1.25 in,1.25 in,1.52 in,1.52 in,0.698 in,0.698 in,6.67,15.7 in ** 4,8.14 in ** 3,4.52 in ** 3,1.5 in,15.7 in ** 4,8.14 in ** 3,4.52 in ** 3,1.5 in,6.55 in ** 4,0.972 in,3.05 in ** 3,1.33 in ** 4,2.32 in ** 6,2.67 in,1,24.8 in ** 4,3.27 in,0.0 in,3.27 in,1.65 in,2.15 in,1.65 in,7.58 in ** 3,7.58 in ** 3,3.97 in ** 3,3.05 in ** 3,3.97 in ** 3,15.0 in,15.0 in,20.0 in
L5X5X5/8,L,20.0 plf,5.9 in ** 2,5.0 in,5.0 in,0.625 in,1.13 in,1.125 in,1.47 in,1.47 in,0.59 in,0.59 in,8,13.6 in ** 4,6.93 in ** 3,3.85 in ** 3,1.52 in,13.6 in ** 4,6.93 in ** 3,3.85 in ** 3,1.52 in,5.62 in ** 4,0.975 in,2.7 in ** 3,0.792 in ** 4,1.4 in ** 6,2.7 in,1,21.6 in ** 4,3.31 in,0.0 in,3.31 in,1.68 in,2.08 in,1.68 in,6.53 in ** 3,6.53 in ** 3,3.35 in ** 3,2.7 in ** 3,3.35 in ** 3,15.0 in,15.0 in,20.0 in
L5X5X1/2,L,16.2 plf,4.79 in ** 2,5.0 in,5.0 in,0.5 in,1.0 in,1.0 in,1.42 in,1.42 in,0.479 in,0.479 in,10,11.3 in ** 4,5.66 in ** 3,3.15 in ** 3,1.53 in,11.3 in ** 4,5.66 in ** 3,3.15 in ** 3,1.53 in,4.64 in ** 4,0.98 in,2.31 in ** 3,0.417 in ** 4,0.744 in ** 6,2.73 in,1,18.0 in ** 4,3.36 in,0.0 in,3.36 in,1.7 in,2.01 in,1.7 in,5.36 in ** 3,5.36 in ** 3,2.73 in ** 3,2.31 in ** 3,2.73 in ** 3,15.0 in,15.0 in,20.0 in
L5X5X7/16,L,14.3 plf,4.22 in ** 2,5.0 in,5.0 in,0.438 in,0.938 in,0.9375 in,1.4 in,1.4 in,0.422 in,0.422 in,11.4,10.0 in ** 4,5.0 in ** 3,2.78 in ** 3,1.54 in,10.0 in ** 4,5.0 in ** 3,2.78 in ** 3,1.54 in,4.04 in ** 4,0.983 in,2.04 in ** 3,0.284 in ** 4,0.508 in ** 6,2.74 in,1,15.9 in ** 4,3.38 in,0.0 in,3.38 in,1.71 in,1.98 in,1.71 in,4.7 in ** 3,4.7 in ** 3,2.36 in ** 3,2.04 in ** 3,2.36 in ** 3,15.0 in,15.0 in,20.0 in
L5X5X3/8,L,12.3 plf,3.65 in ** 2,5.0 in,5.0 in,0.375 in,0.875 in,0.875 in,1.37 in,1.37 in,0.365 in,0.365 in,13.3,8.76 in ** 4,4.33 in ** 3,2.41 in ** 3,1.55 in,8.76 in ** 4,4.33 in ** 3,2.41 in ** 3,1.55 in,3.55 in ** 4,0.986 in,1.83 in ** 3,0.183 in ** 4,0.327 in ** 6,2.76 in,1,14.0 in ** 4,3.4 in,0.0 in,3.4 in,1.73 in,1.94 in,1.73 in,4.12 in ** 3,4.12 in ** 3,2.05 in ** 3,1.83 in ** 3,2.05 in ** 3,15.0 in,15.0 in,20.0 in
L5X5X5/16,L,10.3 plf,3.07 in ** 2,5.0 in,5.0 in,0.313 in,0.813 in,0.8125 in,1.35 in,1.35 in,0.307 in,0.307 in,16,7.44 in ** 4,3.65 in ** 3,2.04 in ** 3,1.56 in,7.44 in ** 4,3.65 in ** 3,2.04 in ** 3,1.56 in,3.0 in ** 4,0.99 in,1.57 in ** 3,0.108 in ** 4,0.193 in ** 6,2.77 in,1,11.9 in ** 4,3.42 in,0.0 in,3.42 in,1.74 in,1.91 in,1.74 in,3.48 in ** 3,3.48 in ** 3,1.72 in ** 3,1.57 in ** 3,1.72 in ** 3,15.0 in,15.0 in,20.0 in
L5X3-1/2X3/4,L,19.8 plf,5.85 in ** 2,3.5 in,5.0 in,0.75 in,1.19 in,1.1875 in,0.993 in,1.74 in,0.585 in,1.1 in,6.67,13.9 in ** 4,7.6 in ** 3,4.26 in ** 3,1.55 in,5.52 in ** 4,4.07 in ** 3,2.2 in ** 3,0.974 in,3.23 in ** 4,0.744 in,1.9 in ** 3,1.09 in ** 4,1.52 in ** 6,2.36 in,0.464,16.2 in ** 4,2.29 in,1.16 in,3.22 in,1.7 in,1.63 in,0.81 in,7.07 in ** 3,5.03 in ** 3,1.9 in ** 3,1.98 in ** 3,3.99 in ** 3,13.5 in,12.0 in,17.0 in
L5X3-1/2X5/8,L,16.8 plf,4.93 in ** 2,3.5 in,5.0 in,0.625 in,1.06 in,1.0625 in,0.947 in,1.69 in,0.493 in,1.06 in,8,12.0 in ** 4,6.5 in ** 3,3.63 in ** 3,1.56 in,4.8 in ** 4,3.43 in ** 3,1.88 in ** 3,0.987 in,2.74 in ** 4,0.746 in,1.59 in ** 3,0.651 in ** 4,0.918 in ** 6,2.39 in,0.472,14.1 in ** 4,2.33 in,1.12 in,3.26 in,1.72 in,1.58 in,0.838 in,6.05 in ** 3,4.33 in ** 3,1.59 in ** 3,1.73 in ** 3,3.27 in ** 3,13.5 in,12.0 in,17.0 in
L5X3-1/2X1/2,L,13.6 plf,4.0 in ** 2,3.5 in,5.0 in,0.5 in,0.938 in,0.9375 in,0.901 in,1.65 in,0.4 in,1.0 in,10,10.0 in ** 4,5.33 in ** 3,2.97 in ** 3,1.58 in,4.02 in ** 4,2.79 in ** 3,1.55 in ** 3,1.0 in,2.26 in ** 4,0.75 in,1.3 in ** 3,0.343 in ** 4,0.491 in ** 6,2.42 in,0.479,11.8 in ** 4,2.38 in,1.1 in,3.3 in,1.74 in,1.52 in,0.854 in,4.96 in ** 3,3.58 in ** 3,1.3 in ** 3,1.49 in ** 3,2.65 in ** 3,13.5 in,12.0 in,17.0 in
L5X3-1/2X3/8,L,10.4 plf,3.05 in ** 2,3.5 in,5.0 in,0.375 in,0.813 in,0.8125 in,0.854 in,1.6 in,0.305 in,0.933 in,13.3,7.75 in ** 4,4.09 in ** 3,2.28 in ** 3,1.59 in,3.15 in ** 4,2.12 in ** 3,1.19 in ** 3,1.02 in,1.73 in ** 4,0.755 in,0.983 in ** 3,0.15 in ** 4,0.217 in ** 6,2.45 in,0.485,9.16 in ** 4,2.43 in,1.07 in,3.35 in,1.76 in,1.47 in,0.884 in,3.77 in ** 3,2.73 in ** 3,0.983 in ** 3,1.18 in ** 3,1.96 in ** 3,13.5 in,12.0 in,17.0 in
L5X3-1/2X5/16,L,8.7 plf,2.56 in ** 2,3.5 in,5.0 in,0.313 in,0.75 in,0.75 in,0.829 in,1.57 in,0.256 in,0.904 in,16,6.58 in ** 4,3.45 in ** 3,1.92 in ** 3,1.6 in,2.69 in ** 4,1.77 in ** 3,1.01 in ** 3,1.02 in,1.47 in ** 4,0.758 in,0.826 in ** 3,0.0883 in ** 4,0.128 in ** 6,2.47 in,0.489,7.8 in ** 4,2.44 in,1.05 in,3.38 in,1.78 in,1.43 in,0.902 in,3.2 in ** 3,2.31 in ** 3,0.826 in ** 3,1.03 in ** 3,1.63 in ** 3,13.5 in,12.0 in,17.0 in
L5X3-1/2X1/4,L,7.0 plf,2.07 in ** 2,3.5 in,5.0 in,0.25 in,0.688 in,0.6875 in,0.804 in,1.55 in,0.207 in,0.86 in,20,5.36 in ** 4,2.78 in ** 3,1.55 in ** 3,1.61 in,2.2 in ** 4,1.42 in ** 3,0.816 in ** 3,1.03 in,1.19 in ** 4,0.761 in,0.665 in ** 3,0.0464 in ** 4,0.067 in ** 6,2.48 in,0.491,6.37 in ** 4,2.47 in,1.04 in,3.4 in,1.79 in,1.41 in,0.912 in,2.58 in ** 3,1.87 in ** 3,0.665 in ** 3,0.844 in ** 3,1.3 in ** 3,13.5 in,12.0 in,17.0 in
L5X3X1/2,L,12.8 plf,3.75 in ** 2,3.0 in,5.0 in,0.5 in,0.938 in,0.9375 in,0.746 in,1.74 in,0.375 in,1.25 in,10,9.43 in ** 4,5.12 in ** 3,2.89 in ** 3,1.58 in,2.55 in ** 4,2.08 in ** 3,1.13 in ** 3,0.824 in,1.55 in ** 4,0.642 in,0.957 in ** 3,0.322 in ** 4,0.444 in ** 6,2.38 in,0.357,10.4 in ** 4,2.16 in,1.39 in,3.24 in,1.62 in,1.29 in,0.628 in,4.81 in ** 3,3.21 in ** 3,0.957 in ** 3,1.2 in ** 3,2.47 in ** 3,13.0 in,11.0 in,16.0 in
L5X3X7/16,L,11.3 plf,3.31 in ** 2,3.0 in,5.0 in,0.438 in,0.875 in,0.875 in,0.722 in,1.72 in,0.331 in,1.22 in,11.4,8.41 in ** 4,4.53 in ** 3,2.56 in ** 3,1.59 in,2.29 in ** 4,1.82 in ** 3,1.0 in ** 3,0.831 in,1.37 in ** 4,0.644 in,0.84 in ** 3,0.22 in ** 4,0.304 in ** 6,2.39 in,0.361,9.33 in ** 4,2.19 in,1.37 in,3.26 in,1.63 in,1.26 in,0.64 in,4.26 in ** 3,2.86 in ** 3,0.84 in ** 3,1.09 in ** 3,2.14 in ** 3,13.0 in,11.0 in,16.0 in
L5X3X3/8,L,9.8 plf,2.86 in ** 2,3.0 in,5.0 in,0.375 in,0.813 in,0.8125 in,0.698 in,1.69 in,0.286 in,1.19 in,13.3,7.35 in ** 4,3.93 in ** 3,2.22 in ** 3,1.6 in,2.01 in ** 4,1.57 in ** 3,0.874 in ** 3,0.838 in,1.2 in ** 4,0.646 in,0.727 in ** 3,0.141 in ** 4,0.196 in ** 6,2.41 in,0.364,8.16 in ** 4,2.2 in,1.35 in,3.29 in,1.65 in,1.23 in,0.652 in,3.71 in ** 3,2.48 in ** 3,0.727 in ** 3,0.976 in ** 3,1.84 in ** 3,13.0 in,11.0 in,16.0 in
L5X3X5/16,L,8.2 plf,2.41 in ** 2,3.0 in,5.0 in,0.313 in,0.75 in,0.75 in,0.673 in,1.67 in,0.241 in,1.14 in,16,6.24 in ** 4,3.32 in ** 3,1.87 in ** 3,1.61 in,1.72 in ** 4,1.31 in ** 3,0.739 in ** 3,0.846 in,1.01 in ** 4,0.649 in,0.608 in ** 3,0.0832 in ** 4,0.116 in ** 6,2.42 in,0.368,6.95 in ** 4,2.22 in,1.33 in,3.3 in,1.66 in,1.21 in,0.665 in,3.13 in ** 3,2.11 in ** 3,0.608 in ** 3,0.835 in ** 3,1.52 in ** 3,13.0 in,11.0 in,16.0 in
L5X3X1/4,L,6.6 plf,1.94 in ** 2,3.0 in,5.0 in,0.25 in,0.688 in,0.6875 in,0.648 in,1.64 in,0.194 in,1.12 in,20,5.09 in ** 4,2.68 in ** 3,1.51 in ** 3,1.62 in,1.41 in ** 4,1.05 in ** 3,0.6 in ** 3,0.853 in,0.825 in ** 4,0.652 in,0.491 in ** 3,0.0438 in ** 4,0.0606 in ** 6,2.43 in,0.371,5.68 in ** 4,2.24 in,1.31 in,3.33 in,1.68 in,1.18 in,0.677 in,2.54 in ** 3,1.71 in ** 3,0.491 in ** 3,0.699 in ** 3,1.22 in ** 3,13.0 in,11.0 in,16.0 in
L4X4X3/4,L,18.5 plf,5.44 in ** 2,4.0 in,4.0 in,0.75 in,1.13 in,1.125 in,1.27 in,1.27 in,0.68 in,0.68 in,5.33,7.62 in ** 4,5.02 in ** 3,2.79 in ** 3,1.18 in,7.62 in ** 4,5.02 in ** 3,2.79 in ** 3,1.18 in,3.25 in ** 4,0.774 in,1.81 in ** 3,1.02 in ** 4,1.12 in ** 6,2.1 in,1,12.0 in ** 4,2.56 in,0.0 in,2.56 in,1.3 in,1.8 in,1.3 in,4.69 in ** 3,4.69 in ** 3,2.5 in ** 3,1.81 in ** 3,2.5 in ** 3,12.0 in,12.0 in,16.0 in
L4X4X5/8,L,15.7 plf,4.61 in ** 2,4.0 in,4.0 in,0.625 in,1.0 in,1.0 in,1.22 in,1.22 in,0.576 in,0.576 in,6.4,6.62 in ** 4,4.28 in ** 3,2.38 in ** 3,1.2 in,6.62 in ** 4,4.28 in ** 3,2.38 in ** 3,1.2 in,2.76 in ** 4,0.774 in,1.6 in ** 3,0.61 in ** 4,0.68 in ** 6,2.13 in,1,10.5 in ** 4,2.61 in,0.0 in,2.61 in,1.32 in,1.73 in,1.32 in,4.02 in ** 3,4.02 in ** 3,2.09 in ** 3,1.6 in ** 3,2.09 in ** 3,12.0 in,12.0 in,16.0 in
L4X4X1/2,L,12.8 plf,3.75 in ** 2,4.0 in,4.0 in,0.5 in,0.875 in,0.875 in,1.18 in,1.18 in,0.469 in,0.469 in,8,5.52 in ** 4,3.5 in ** 3,1.96 in ** 3,1.21 in,5.52 in ** 4,3.5 in ** 3,1.96 in ** 3,1.21 in,2.25 in ** 4,0.776 in,1.35 in ** 3,0.322 in ** 4,0.366 in ** 6,2.16 in,1,8.79 in ** 4,2.65 in,0.0 in,2.65 in,1.34 in,1.67 in,1.34 in,3.32 in ** 3,3.32 in ** 3,1.68 in ** 3,1.35 in ** 3,1.68 in ** 3,12.0 in,12.0 in,16.0 in
L4X4X7/16,L,11.3 plf,3.3 in ** 2,4.0 in,4.0 in,0.438 in,0.813 in,0.8125 in,1.15 in,1.15 in,0.413 in,0.413 in,9.13,4.93 in ** 4,3.1 in ** 3,1.73 in ** 3,1.22 in,4.93 in ** 4,3.1 in ** 3,1.73 in ** 3,1.22 in,1.99 in ** 4,0.777 in,1.22 in ** 3,0.22 in ** 4,0.252 in ** 6,2.18 in,1,7.86 in ** 4,2.67 in,0.0 in,2.67 in,1.36 in,1.63 in,1.36 in,2.94 in ** 3,2.94 in ** 3,1.46 in ** 3,1.22 in ** 3,1.46 in ** 3,12.0 in,12.0 in,16.0 in
L4X4X3/8,L,9.8 plf,2.86 in ** 2,4.0 in,4.0 in,0.375 in,0.75 in,0.75 in,1.13 in,1.13 in,0.358 in,0.358 in,10.7,4.32 in ** 4,2.69 in ** 3,1.5 in ** 3,1.23 in,4.32 in ** 4,2.69 in ** 3,1.5 in ** 3,1.23 in,1.73 in ** 4,0.779 in,1.08 in ** 3,0.141 in ** 4,0.162 in ** 6,2.19 in,1,6.91 in ** 4,2.7 in,0.0 in,2.7 in,1.36 in,1.6 in,1.36 in,2.56 in ** 3,2.56 in ** 3,1.27 in ** 3,1.08 in ** 3,1.27 in ** 3,12.0 in,12.0 in,16.0 in
L4X4X5/16,L,8.2 plf,2.4 in ** 2,4.0 in,4.0 in,0.313 in,0.688 in,0.6875 in,1.11 in,1.11 in,0.3 in,0.3 in,12.8,3.67 in ** 4,2.26 in ** 3,1.27 in ** 3,1.24 in,3.67 in ** 4,2.26 in ** 3,1.27 in ** 3,1.24 in,1.46 in ** 4,0.781 in,0.93 in ** 3,0.0832 in ** 4,0.0963 in ** 6,2.21 in,1,5.88 in ** 4,2.72 in,0.0 in,2.72 in,1.37 in,1.57 in,1.37 in,2.16 in ** 3,2.16 in ** 3,1.07 in ** 3,0.93 in ** 3,1.07 in ** 3,12.0 in,12.0 in,16.0 in
L4X4X1/4,L,6.6 plf,1.93 in ** 2,4.0 in,4.0 in,0.25 in,0.625 in,0.625 in,1.08 in,1.08 in,0.241 in,0.241 in,16,3.0 in ** 4,1.82 in ** 3,1.03 in ** 3,1.25 in,3.0 in ** 4,1.82 in ** 3,1.03 in ** 3,1.25 in,1.19 in ** 4,0.783 in,0.778 in ** 3,0.0438 in ** 4,0.0505 in ** 6,2.22 in,1,4.82 in ** 4,2.74 in,0.0 in,2.74 in,1.39 in,1.53 in,1.39 in,1.76 in ** 3,1.76 in ** 3,0.856 in ** 3,0.778 in ** 3,0.856 in ** 3,12.0 in,12.0 in,16.0 in
L4X3-1/2X1/2,L,11.9 plf,3.5 in ** 2,3.5 in,4.0 in,0.5 in,0.875 in,0.875 in,0.994 in,1.24 in,0.438 in,0.5 in,8,5.3 in ** 4,3.46 in ** 3,1.92 in ** 3,1.23 in,3.76 in ** 4,2.69 in ** 3,1.5 in ** 3,1.04 in,1.79 in ** 4,0.716 in,1.16 in ** 3,0.301 in ** 4,0.302 in ** 6,2.03 in,0.75,7.26 in ** 4,2.29 in,0.397 in,2.66 in,1.41 in,1.54 in,1.06 in,3.17 in ** 3,2.73 in ** 3,1.27 in ** 3,1.16 in ** 3,1.69 in ** 3,11.5 in,11.0 in,15.0 in
L4X3-1/2X3/8,L,9.1 plf,2.68 in ** 2,3.5 in,4.0 in,0.375 in,0.75 in,0.75 in,0.947 in,1.2 in,0.335 in,0.427 in,10.7,4.15 in ** 4,2.66 in ** 3,1.48 in ** 3,1.25 in,2.96 in ** 4,2.06 in ** 3,1.16 in ** 3,1.05 in,1.39 in ** 4,0.719 in,0.939 in ** 3,0.132 in ** 4,0.134 in ** 6,2.06 in,0.755,5.73 in ** 4,2.35 in,0.387 in,2.69 in,1.43 in,1.48 in,1.08 in,2.44 in ** 3,2.13 in ** 3,0.972 in ** 3,0.939 in ** 3,1.29 in ** 3,11.5 in,11.0 in,15.0 in
L4X3-1/2X5/16,L,7.7 plf,2.25 in ** 2,3.5 in,4.0 in,0.313 in,0.688 in,0.6875 in,0.923 in,1.17 in,0.281 in,0.4 in,12.8,3.53 in ** 4,2.24 in ** 3,1.25 in ** 3,1.25 in,2.52 in ** 4,1.74 in ** 3,0.98 in ** 3,1.06 in,1.16 in ** 4,0.721 in,0.806 in ** 3,0.0782 in ** 4,0.0798 in ** 6,2.08 in,0.757,4.88 in ** 4,2.36 in,0.376 in,2.72 in,1.44 in,1.44 in,1.1 in,2.07 in ** 3,1.79 in ** 3,0.806 in ** 3,0.806 in ** 3,1.05 in ** 3,11.5 in,11.0 in,15.0 in
L4X3-1/2X1/4,L,6.2 plf,1.82 in ** 2,3.5 in,4.0 in,0.25 in,0.625 in,0.625 in,0.897 in,1.14 in,0.228 in,0.36 in,16,2.89 in ** 4,1.81 in ** 3,1.01 in ** 3,1.26 in,2.07 in ** 4,1.4 in ** 3,0.794 in ** 3,1.07 in,0.953 in ** 4,0.723 in,0.653 in ** 3,0.0412 in ** 4,0.0419 in ** 6,2.09 in,0.759,4.01 in ** 4,2.38 in,0.365 in,2.74 in,1.46 in,1.4 in,1.11 in,1.68 in ** 3,1.46 in ** 3,0.653 in ** 3,0.681 in ** 3,0.859 in ** 3,11.5 in,11.0 in,15.0 in
L4X3X5/8,L,13.6 plf,3.99 in ** 2,3.0 in,4.0 in,0.625 in,1.0 in,1.0 in,0.867 in,1.37 in,0.499 in,0.808 in,6.4,6.01 in ** 4,4.08 in ** 3,2.28 in ** 3,1.23 in,2.85 in ** 4,2.45 in ** 3,1.34 in ** 3,0.845 in,1.59 in ** 4,0.631 in,1.13 in ** 3,0.529 in ** 4,0.472 in ** 6,1.91 in,0.534,7.27 in ** 4,1.94 in,0.801 in,2.58 in,1.38 in,1.41 in,0.749 in,3.75 in ** 3,2.82 in ** 3,1.15 in ** 3,1.13 in ** 3,2.12 in ** 3,11.0 in,10.0 in,14.0 in
L4X3X1/2,L,11.1 plf,3.25 in ** 2,3.0 in,4.0 in,0.5 in,0.875 in,0.875 in,0.822 in,1.32 in,0.406 in,0.75 in,8,5.02 in ** 4,3.36 in ** 3,1.87 in ** 3,1.24 in,2.4 in ** 4,1.99 in ** 3,1.1 in ** 3,0.858 in,1.3 in ** 4,0.633 in,0.929 in ** 3,0.281 in ** 4,0.255 in ** 6,1.94 in,0.542,6.12 in ** 4,1.98 in,0.768 in,2.63 in,1.4 in,1.35 in,0.777 in,3.09 in ** 3,2.33 in ** 3,0.929 in ** 3,0.963 in ** 3,1.67 in ** 3,11.0 in,10.0 in,14.0 in
L4X3X3/8,L,8.5 plf,2.49 in ** 2,3.0 in,4.0 in,0.375 in,0.75 in,0.75 in,0.775 in,1.27 in,0.311 in,0.68 in,10.7,3.94 in ** 4,2.6 in ** 3,1.44 in ** 3,1.26 in,1.89 in ** 4,1.52 in ** 3,0.851 in ** 3,0.873 in,1.0 in ** 4,0.636 in,0.699 in ** 3,0.123 in ** 4,0.114 in ** 6,1.97 in,0.551,4.82 in ** 4,2.02 in,0.739 in,2.68 in,1.43 in,1.29 in,0.801 in,2.39 in ** 3,1.8 in ** 3,0.699 in ** 3,0.775 in ** 3,1.25 in ** 3,11.0 in,10.0 in,14.0 in
L4X3X5/16,L,7.2 plf,2.09 in ** 2,3.0 in,4.0 in,0.313 in,0.688 in,0.6875 in,0.75 in,1.25 in,0.261 in,0.656 in,12.8,3.36 in ** 4,2.19 in ** 3,1.22 in ** 3,1.27 in,1.62 in ** 4,1.28 in ** 3,0.721 in ** 3,0.88 in,0.849 in ** 4,0.638 in,0.59 in ** 3,0.0731 in ** 4,0.0676 in ** 6,1.98 in,0.554,4.13 in ** 4,2.05 in,0.73 in,2.69 in,1.44 in,1.26 in,0.814 in,2.01 in ** 3,1.54 in ** 3,0.59 in ** 3,0.674 in ** 3,1.04 in ** 3,11.0 in,10.0 in,14.0 in
L4X3X1/4,L,5.8 plf,1.69 in ** 2,3.0 in,4.0 in,0.25 in,0.625 in,0.625 in,0.725 in,1.22 in,0.211 in,0.62 in,16,2.75 in ** 4,1.77 in ** 3,0.988 in ** 3,1.27 in,1.33 in ** 4,1.03 in ** 3,0.585 in ** 3,0.887 in,0.692 in ** 4,0.639 in,0.474 in ** 3,0.0386 in ** 4,0.0356 in ** 6,1.99 in,0.558,3.39 in ** 4,2.06 in,0.713 in,2.72 in,1.46 in,1.23 in,0.828 in,1.65 in ** 3,1.25 in ** 3,0.474 in ** 3,0.563 in ** 3,0.836 in ** 3,11.0 in,10.0 in,14.0 in
L3-1/2X3-1/2X1/2,L,11.1 plf,3.25 in ** 2,3.5 in,3.5 in,0.5 in,0.875 in,0.875 in,1.05 in,1.05 in,0.464 in,0.464 in,7,3.63 in ** 4,2.66 in ** 3,1.48 in ** 3,1.05 in,3.63 in ** 4,2.66 in ** 3,1.48 in ** 3,1.05 in,1.51 in ** 4,0.679 in,1.02 in ** 3,0.281 in ** 4,0.238 in ** 6,1.87 in,1,5.75 in ** 4,2.3 in,0.0 in,2.3 in,1.17 in,1.48 in,1.17 in,2.5 in ** 3,2.5 in ** 3,1.29 in ** 3,1.02 in ** 3,1.29 in ** 3,10.5 in,10.5 in,14.0 in
L3-1/2X3-1/2X7/16,L,9.8 plf,2.89 in ** 2,3.5 in,3.5 in,0.438 in,0.813 in,0.8125 in,1.03 in,1.03 in,0.413 in,0.413 in,7.99,3.25 in ** 4,2.36 in ** 3,1.32 in ** 3,1.06 in,3.25 in ** 4,2.36 in ** 3,1.32 in ** 3,1.06 in,1.33 in ** 4,0.681 in,0.911 in ** 3,0.192 in ** 4,0.164 in ** 6,1.89 in,1,5.16 in ** 4,2.32 in,0.0 in,2.32 in,1.17 in,1.46 in,1.17 in,2.22 in ** 3,2.22 in ** 3,1.14 in ** 3,0.911 in ** 3,1.14 in ** 3,10.5 in,10.5 in,14.0 in
L3-1/2X3-1/2X3/8,L,8.5 plf,2.5 in ** 2,3.5 in,3.5 in,0.375 in,0.75 in,0.75 in,1.0 in,1.0 in,0.357 in,0.357 in,9.33,2.86 in ** 4,2.06 in ** 3,1.15 in ** 3,1.07 in,2.86 in ** 4,2.06 in ** 3,1.15 in ** 3,1.07 in,1.17 in ** 4,0.683 in,0.83 in ** 3,0.123 in ** 4,0.106 in ** 6,1.9 in,1,4.55 in ** 4,2.34 in,0.0 in,2.34 in,1.19 in,1.41 in,1.19 in,1.94 in ** 3,1.94 in ** 3,0.983 in ** 3,0.83 in ** 3,0.983 in ** 3,10.5 in,10.5 in,14.0 in
L3-1/2X3-1/2X5/16,L,7.2 plf,2.1 in ** 2,3.5 in,3.5 in,0.313 in,0.688 in,0.6875 in,0.979 in,0.979 in,0.3 in,0.3 in,11.2,2.44 in ** 4,1.74 in ** 3,0.969 in ** 3,1.08 in,2.44 in ** 4,1.74 in ** 3,0.969 in ** 3,1.08 in,0.984 in ** 4,0.685 in,0.713 in ** 3,0.0731 in ** 4,0.0634 in ** 6,1.92 in,1,3.89 in ** 4,2.36 in,0.0 in,2.36 in,1.2 in,1.38 in,1.2 in,1.65 in ** 3,1.65 in ** 3,0.82 in ** 3,0.713 in ** 3,0.82 in ** 3,10.5 in,10.5 in,14.0 in
