size,type,W,A,H_t,h,B,b,t_nom,t,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C
HSS6X2X3/8,HSS,17.27 plf,4.78 in ** 2,6.0 in,4.95 in,2.0 in,0.953 in,0.375 in,0.349 in,2.73,14.2,17.1 in ** 4,7.93 in ** 3,5.71 in ** 3,1.89 in,2.77 in ** 4,3.46 in ** 3,2.77 in ** 3,0.76 in,8.42 in ** 4,6.35 in ** 3
HSS6X2X5/16,HSS,14.83 plf,4.1 in ** 2,6.0 in,5.13 in,2.0 in,1.13 in,0.3125 in,0.291 in,3.87,17.6,15.3 in ** 4,6.95 in ** 3,5.11 in ** 3,1.93 in,2.52 in ** 4,3.07 in ** 3,2.52 in ** 3,0.785 in,7.6 in ** 4,5.58 in ** 3
HSS6X2X1/4,HSS,12.21 plf,3.37 in ** 2,6.0 in,5.3 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,22.8,13.1 in ** 4,5.84 in ** 3,4.37 in ** 3,1.97 in,2.21 in ** 4,2.61 in ** 3,2.21 in ** 3,0.81 in,6.55 in ** 4,4.7 in ** 3
HSS6X2X3/16,HSS,9.42 plf,2.58 in ** 2,6.0 in,5.48 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,31.5,10.5 in ** 4,4.58 in ** 3,3.49 in ** 3,2.01 in,1.8 in ** 4,2.07 in ** 3,1.8 in ** 3,0.836 in,5.24 in ** 4,3.68 in ** 3
HSS6X2X1/8,HSS,6.46 plf,1.77 in ** 2,6.0 in,5.65 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,48.7,7.42 in ** 4,3.19 in ** 3,2.47 in ** 3,2.05 in,1.31 in ** 4,1.46 in ** 3,1.31 in ** 3,0.861 in,3.72 in ** 4,2.57 in ** 3
HSS5-1/2X5-1/2X3/8,HSS,24.93 plf,6.88 in ** 2,5.5 in,4.45 in,5.5 in,4.45 in,0.375 in,0.349 in,12.8,12.8,29.7 in ** 4,13.1 in ** 3,10.8 in ** 3,2.08 in,29.7 in ** 4,13.1 in ** 3,10.8 in ** 3,2.08 in,49.0 in ** 4,18.4 in ** 3
HSS5-1/2X5-1/2X5/16,HSS,21.21 plf,5.85 in ** 2,5.5 in,4.63 in,5.5 in,4.63 in,0.3125 in,0.291 in,15.9,15.9,25.9 in ** 4,11.3 in ** 3,9.43 in ** 3,2.11 in,25.9 in ** 4,11.3 in ** 3,9.43 in ** 3,2.11 in,42.2 in ** 4,15.7 in ** 3
HSS5-1/2X5-1/2X1/4,HSS,17.32 plf,4.77 in ** 2,5.5 in,4.8 in,5.5 in,4.8 in,0.25 in,0.233 in,20.6,20.6,21.7 in ** 4,9.32 in ** 3,7.9 in ** 3,2.13 in,21.7 in ** 4,9.32 in ** 3,7.9 in ** 3,2.13 in,34.8 in ** 4,12.9 in ** 3
HSS5-1/2X5-1/2X3/16,HSS,13.25 plf,3.63 in ** 2,5.5 in,4.98 in,5.5 in,4.98 in,0.1875 in,0.174 in,28.6,28.6,17.0 in ** 4,7.19 in ** 3,6.17 in ** 3,2.16 in,17.0 in ** 4,7.19 in ** 3,6.17 in ** 3,2.16 in,26.7 in ** 4,9.85 in ** 3
HSS5-1/2X5-1/2X1/8,HSS,9.01 plf,2.46 in ** 2,5.5 in,5.15 in,5.5 in,5.15 in,0.125 in,0.116 in,44.4,44.4,11.8 in ** 4,4.95 in ** 3,4.3 in ** 3,2.19 in,11.8 in ** 4,4.95 in ** 3,4.3 in ** 3,2.19 in,18.3 in ** 4,6.72 in ** 3
HSS5X5X1/2,HSS,28.43 plf,7.88 in ** 2,5.0 in,3.6 in,5.0 in,3.6 in,0.5 in,0.465 in,7.75,7.75,26.0 in ** 4,13.1 in ** 3,10.4 in ** 3,1.82 in,26.0 in ** 4,13.1 in ** 3,10.4 in ** 3,1.82 in,44.6 in ** 4,18.7 in ** 3
HSS5X5X3/8,HSS,22.37 plf,6.18 in ** 2,5.0 in,3.95 in,5.0 in,3.95 in,0.375 in,0.349 in,11.3,11.3,21.7 in ** 4,10.6 in ** 3,8.68 in ** 3,1.87 in,21.7 in ** 4,10.6 in ** 3,8.68 in ** 3,1.87 in,36.1 in ** 4,14.9 in ** 3
HSS5X5X5/16,HSS,19.08 plf,5.26 in ** 2,5.0 in,4.13 in,5.0 in,4.13 in,0.3125 in,0.291 in,14.2,14.2,19.0 in ** 4,9.16 in ** 3,7.62 in ** 3,1.9 in,19.0 in ** 4,9.16 in ** 3,7.62 in ** 3,1.9 in,31.2 in ** 4,12.8 in ** 3
HSS5X5X1/4,HSS,15.62 plf,4.3 in ** 2,5.0 in,4.3 in,5.0 in,4.3 in,0.25 in,0.233 in,18.5,18.5,16.0 in ** 4,7.61 in ** 3,6.41 in ** 3,1.93 in,16.0 in ** 4,7.61 in ** 3,6.41 in ** 3,1.93 in,25.8 in ** 4,10.5 in ** 3
