size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W14X342,W,342.0 plf,101.0 in ** 2,14 in,17.5 in,17.5 in,16.4 in,16.375 in,1.54 in,1.5625 in,0.8125 in,2.47 in,2.5 in,3.07 in,3.75 in,2.0 in,3.31,7.41,4900.0 in ** 4,672.0 in ** 3,558.0 in ** 3,6.98 in,1810.0 in ** 4,338.0 in ** 3,221.0 in ** 3,4.24 in,178.0 in ** 4,103000.0 in ** 6,61.6 in ** 2,624.0 in ** 4,138.0 in ** 3,335.0 in ** 3,4.95 in,15.0 in,80.1 in,96.5 in,51.4 in,67.8 in,10.0 in,7.5 in
W14X311,W,311.0 plf,91.4 in ** 2,14 in,17.1 in,17.125 in,16.2 in,16.25 in,1.41 in,1.4375 in,0.75 in,2.26 in,2.25 in,2.86 in,3.5625 in,1.9375 in,3.59,8.09,4330.0 in ** 4,603.0 in ** 3,506.0 in ** 3,6.88 in,1610.0 in ** 4,304.0 in ** 3,199.0 in ** 3,4.2 in,136.0 in ** 4,89100.0 in ** 6,60.1 in ** 2,550.0 in ** 4,124.0 in ** 3,300.0 in ** 3,4.87 in,14.8 in,79.0 in,95.2 in,50.4 in,66.6 in,10.0 in,7.5 in
W14X283,W,283.0 plf,83.3 in ** 2,14 in,16.7 in,16.75 in,16.1 in,16.125 in,1.29 in,1.3125 in,0.6875 in,2.07 in,2.0625 in,2.67 in,3.375 in,1.875 in,3.89,8.84,3840.0 in ** 4,542.0 in ** 3,459.0 in ** 3,6.79 in,1440.0 in ** 4,274.0 in ** 3,179.0 in ** 3,4.17 in,104.0 in ** 4,77700.0 in ** 6,58.9 in ** 2,491.0 in ** 4,112.0 in ** 3,269.0 in ** 3,4.8 in,14.6 in,78.1 in,94.2 in,49.5 in,65.6 in,10.0 in,7.5 in
W14X257,W,257.0 plf,75.6 in ** 2,14 in,16.4 in,16.375 in,16.0 in,16.0 in,1.18 in,1.1875 in,0.625 in,1.89 in,1.875 in,2.49 in,3.1875 in,1.8125 in,4.23,9.71,3400.0 in ** 4,487.0 in ** 3,415.0 in ** 3,6.71 in,1290.0 in ** 4,246.0 in ** 3,161.0 in ** 3,4.13 in,79.1 in ** 4,67800.0 in ** 6,58.0 in ** 2,439.0 in ** 4,102.0 in ** 3,243.0 in ** 3,4.75 in,14.5 in,77.4 in,93.4 in,48.8 in,64.8 in,10.0 in,7.5 in
W14X233,W,233.0 plf,68.5 in ** 2,14 in,16.0 in,16.0 in,15.9 in,15.875 in,1.07 in,1.0625 in,0.5625 in,1.72 in,1.75 in,2.32 in,3.0 in,1.75 in,4.62,10.7,3010.0 in ** 4,436.0 in ** 3,375.0 in ** 3,6.63 in,1150.0 in ** 4,221.0 in ** 3,145.0 in ** 3,4.1 in,59.5 in ** 4,59000.0 in ** 6,56.8 in ** 2,388.0 in ** 4,91.1 in ** 3,216.0 in ** 3,4.69 in,14.3 in,76.5 in,92.4 in,47.9 in,63.8 in,10.0 in,7.5 in
W14X211,W,211.0 plf,62.0 in ** 2,14 in,15.7 in,15.75 in,15.8 in,15.75 in,0.98 in,1.0 in,0.5 in,1.56 in,1.5625 in,2.16 in,2.875 in,1.6875 in,5.06,11.6,2660.0 in ** 4,390.0 in ** 3,338.0 in ** 3,6.55 in,1030.0 in ** 4,198.0 in ** 3,130.0 in ** 3,4.07 in,44.6 in ** 4,51500.0 in ** 6,55.9 in ** 2,344.0 in ** 4,81.7 in ** 3,194.0 in ** 3,4.64 in,14.1 in,75.8 in,91.6 in,47.2 in,63.0 in,10.0 in,7.5 in
W14X193,W,193.0 plf,56.8 in ** 2,14 in,15.5 in,15.5 in,15.7 in,15.75 in,0.89 in,0.875 in,0.4375 in,1.44 in,1.4375 in,2.04 in,2.75 in,1.6875 in,5.45,12.8,2400.0 in ** 4,355.0 in ** 3,310.0 in ** 3,6.5 in,931.0 in ** 4,180.0 in ** 3,119.0 in ** 3,4.05 in,34.8 in ** 4,45900.0 in ** 6,55.2 in ** 2,312.0 in ** 4,75.0 in ** 3,177.0 in ** 3,4.59 in,14.1 in,75.3 in,91.0 in,46.7 in,62.4 in,10.0 in,7.5 in
W14X176,W,176.0 plf,51.8 in ** 2,14 in,15.2 in,15.25 in,15.7 in,15.625 in,0.83 in,0.8125 in,0.4375 in,1.31 in,1.3125 in,1.91 in,2.625 in,1.625 in,5.97,13.7,2140.0 in ** 4,320.0 in ** 3,281.0 in ** 3,6.43 in,838.0 in ** 4,163.0 in ** 3,107.0 in ** 3,4.02 in,26.5 in ** 4,40500.0 in ** 6,54.5 in ** 2,280.0 in ** 4,67.6 in ** 3,159.0 in ** 3,4.55 in,13.9 in,74.8 in,90.5 in,46.1 in,61.8 in,10.0 in,7.5 in
W14X159,W,159.0 plf,46.7 in ** 2,14 in,15.0 in,15.0 in,15.6 in,15.625 in,0.745 in,0.75 in,0.375 in,1.19 in,1.1875 in,1.79 in,2.5 in,1.5625 in,6.54,15.3,1900.0 in ** 4,287.0 in ** 3,254.0 in ** 3,6.38 in,748.0 in ** 4,146.0 in ** 3,96.2 in ** 3,4.0 in,19.7 in ** 4,35600.0 in ** 6,53.9 in ** 2,250.0 in ** 4,61.0 in ** 3,143.0 in ** 3,4.51 in,13.8 in,74.3 in,89.9 in,45.6 in,61.2 in,10.0 in,7.5 in
W14X145,W,145.0 plf,42.7 in ** 2,14 in,14.8 in,14.75 in,15.5 in,15.5 in,0.68 in,0.6875 in,0.375 in,1.09 in,1.0625 in,1.69 in,2.375 in,1.5625 in,7.11,16.8,1710.0 in ** 4,260.0 in ** 3,232.0 in ** 3,6.33 in,677.0 in ** 4,133.0 in ** 3,87.3 in ** 3,3.98 in,15.2 in ** 4,31700.0 in ** 6,53.1 in ** 2,224.0 in ** 4,55.4 in ** 3,129.0 in ** 3,4.47 in,13.7 in,73.7 in,89.2 in,45.1 in,60.6 in,10.0 in,7.5 in
W14X132,W,132.0 plf,38.8 in ** 2,14 in,14.7 in,14.625 in,14.7 in,14.75 in,0.645 in,0.625 in,0.3125 in,1.03 in,1.0 in,1.63 in,2.3125 in,1.5625 in,7.15,17.7,1530.0 in ** 4,234.0 in ** 3,209.0 in ** 3,6.28 in,548.0 in ** 4,113.0 in ** 3,74.5 in ** 3,3.76 in,12.3 in ** 4,25500.0 in ** 6,50.2 in ** 2,190.0 in ** 4,49.5 in ** 3,116.0 in ** 3,4.23 in,13.7 in,71.2 in,85.9 in,44.1 in,58.8 in,10.0 in,5.5 in
W14X120,W,120.0 plf,35.3 in ** 2,14 in,14.5 in,14.5 in,14.7 in,14.625 in,0.59 in,0.5625 in,0.3125 in,0.94 in,0.9375 in,1.54 in,2.25 in,1.5 in,7.8,19.3,1380.0 in ** 4,212.0 in ** 3,190.0 in ** 3,6.24 in,495.0 in ** 4,102.0 in ** 3,67.5 in ** 3,3.74 in,9.37 in ** 4,22700.0 in ** 6,49.8 in ** 2,172.0 in ** 4,45.0 in ** 3,105.0 in ** 3,4.2 in,13.6 in,70.9 in,85.6 in,43.7 in,58.4 in,10.0 in,5.5 in
W14X109,W,109.0 plf,32.0 in ** 2,14 in,14.3 in,14.375 in,14.6 in,14.625 in,0.525 in,0.5 in,0.25 in,0.86 in,0.875 in,1.46 in,2.1875 in,1.5 in,8.49,21.7,1240.0 in ** 4,192.0 in ** 3,173.0 in ** 3,6.22 in,447.0 in ** 4,92.7 in ** 3,61.2 in ** 3,3.73 in,7.12 in ** 4,20200.0 in ** 6,49.1 in ** 2,154.0 in ** 4,40.7 in ** 3,94.8 in ** 3,4.17 in,13.4 in,70.3 in,84.9 in,43.2 in,57.8 in,10.0 in,5.5 in
W14X99,W,99.0 plf,29.1 in ** 2,14 in,14.2 in,14.125 in,14.6 in,14.625 in,0.485 in,0.5 in,0.25 in,0.78 in,0.75 in,1.38 in,2.0625 in,1.4375 in,9.34,23.5,1110.0 in ** 4,173.0 in ** 3,157.0 in ** 3,6.17 in,402.0 in ** 4,83.6 in ** 3,55.2 in ** 3,3.71 in,5.37 in ** 4,18000.0 in ** 6,49.0 in ** 2,139.0 in ** 4,36.9 in ** 3,86.1 in ** 3,4.14 in,13.4 in,70.2 in,84.8 in,43.0 in,57.6 in,10.0 in,5.5 in
W14X90,W,90.0 plf,26.5 in ** 2,14 in,14.0 in,14.0 in,14.5 in,14.5 in,0.44 in,0.4375 in,0.25 in,0.71 in,0.6875 in,1.31 in,2.0 in,1.4375 in,10.2,25.9,999.0 in ** 4,157.0 in ** 3,143.0 in ** 3,6.14 in,362.0 in ** 4,75.6 in ** 3,49.9 in ** 3,3.7 in,4.06 in ** 4,16000.0 in ** 6,48.2 in ** 2,124.0 in ** 4,33.2 in ** 3,77.1 in ** 3,4.1 in,13.3 in,69.6 in,84.1 in,42.5 in,57.0 in,10.0 in,5.5 in
W14X82,W,82.0 plf,24.0 in ** 2,14 in,14.3 in,14.25 in,10.1 in,10.125 in,0.51 in,0.5 in,0.25 in,0.855 in,0.875 in,1.45 in,1.6875 in,1.0625 in,5.92,22.4,881.0 in ** 4,139.0 in ** 3,123.0 in ** 3,6.05 in,148.0 in ** 4,44.8 in ** 3,29.3 in ** 3,2.48 in,5.07 in ** 4,6710.0 in ** 6,33.9 in ** 2,73.3 in ** 4,27.6 in ** 3,68.2 in ** 3,2.85 in,13.4 in,56.9 in,67.0 in,38.7 in,48.8 in,10.875 in,5.5 in
W14X74,W,74.0 plf,21.8 in ** 2,14 in,14.2 in,14.125 in,10.1 in,10.125 in,0.45 in,0.4375 in,0.25 in,0.785 in,0.8125 in,1.38 in,1.625 in,1.0625 in,6.41,25.4,795.0 in ** 4,126.0 in ** 3,112.0 in ** 3,6.04 in,134.0 in ** 4,40.5 in ** 3,26.6 in ** 3,2.48 in,3.87 in ** 4,5990.0 in ** 6,33.9 in ** 2,67.1 in ** 4,25.4 in ** 3,62.2 in ** 3,2.83 in,13.4 in,56.8 in,66.9 in,38.5 in,48.6 in,10.875 in,5.5 in
W14X68,W,68.0 plf,20.0 in ** 2,14 in,14.0 in,14.0 in,10.0 in,10.0 in,0.415 in,0.4375 in,0.25 in,0.72 in,0.75 in,1.31 in,1.5625 in,1.0625 in,6.97,27.5,722.0 in ** 4,115.0 in ** 3,103.0 in ** 3,6.01 in,121.0 in ** 4,36.9 in ** 3,24.2 in ** 3,2.46 in,3.01 in ** 4,5380.0 in ** 6,33.2 in ** 2,59.8 in ** 4,22.9 in ** 3,56.0 in ** 3,2.8 in,13.3 in,56.2 in,66.2 in,38.0 in,48.0 in,10.875 in,5.5 in
W14X61,W,61.0 plf,17.9 in ** 2,14 in,13.9 in,13.875 in,10.0 in,10.0 in,0.375 in,0.375 in,0.1875 in,0.645 in,0.625 in,1.24 in,1.5 in,1.0 in,7.75,30.4,640.0 in ** 4,102.0 in ** 3,92.1 in ** 3,5.98 in,107.0 in ** 4,32.8 in ** 3,21.5 in ** 3,2.45 in,2.19 in ** 4,4710.0 in ** 6,33.1 in ** 2,53.4 in ** 4,20.6 in ** 3,50.2 in ** 3,2.78 in,13.3 in,56.0 in,66.0 in,37.8 in,47.8 in,10.875 in,5.5 in
W14X53,W,53.0 plf,15.6 in ** 2,14 in,13.9 in,13.875 in,8.06 in,8.0 in,0.37 in,0.375 in,0.1875 in,0.66 in,0.6875 in,1.25 in,1.5 in,1.0 in,6.11,30.9,541.0 in ** 4,87.1 in ** 3,77.8 in ** 3,5.89 in,57.7 in ** 4,22.0 in ** 3,14.3 in ** 3,1.92 in,1.94 in ** 4,2540.0 in ** 6,26.7 in ** 2,35.5 in ** 4,16.8 in ** 3,42.5 in ** 3,2.22 in,13.2 in,50.2 in,58.3 in,35.9 in,43.9 in,10.875 in,5.5 in
W14X48,W,48.0 plf,14.1 in ** 2,14 in,13.8 in,13.75 in,8.03 in,8.0 in,0.34 in,0.3125 in,0.1875 in,0.595 in,0.625 in,1.19 in,1.4375 in,1.0 in,6.75,33.6,484.0 in ** 4,78.4 in ** 3,70.2 in ** 3,5.85 in,51.4 in ** 4,19.6 in ** 3,12.8 in ** 3,1.91 in,1.45 in ** 4,2240.0 in ** 6,26.5 in ** 2,31.7 in ** 4,15.1 in ** 3,38.3 in ** 3,2.2 in,13.2 in,50.0 in,58.0 in,35.6 in,43.7 in,10.875 in,5.5 in
W14X43,W,43.0 plf,12.6 in ** 2,14 in,13.7 in,13.625 in,8.0 in,8.0 in,0.305 in,0.3125 in,0.1875 in,0.53 in,0.5 in,1.12 in,1.375 in,1.0 in,7.54,37.4,428.0 in ** 4,69.6 in ** 3,62.6 in ** 3,5.82 in,45.2 in ** 4,17.3 in ** 3,11.3 in ** 3,1.89 in,1.05 in ** 4,1950.0 in ** 6,26.3 in ** 2,27.9 in ** 4,13.4 in ** 3,34.0 in ** 3,2.18 in,13.2 in,49.8 in,57.8 in,35.4 in,43.4 in,10.875 in,5.5 in
W14X38,W,38.0 plf,11.2 in ** 2,14 in,14.1 in,14.125 in,6.77 in,6.75 in,0.31 in,0.3125 in,0.1875 in,0.515 in,0.5 in,0.915 in,1.25 in,0.8125 in,6.57,39.6,385.0 in ** 4,61.5 in ** 3,54.6 in ** 3,5.87 in,26.7 in ** 4,12.1 in ** 3,7.88 in ** 3,1.55 in,0.798 in ** 4,1230.0 in ** 6,23.0 in ** 2,20.0 in ** 4,11.3 in ** 3,30.3 in ** 3,1.82 in,13.6 in,47.2 in,54.0 in,35.0 in,41.7 in,11.625 in,3.5 in
W14X34,W,34.0 plf,10.0 in ** 2,14 in,14.0 in,14.0 in,6.75 in,6.75 in,0.285 in,0.3125 in,0.1875 in,0.455 in,0.4375 in,0.855 in,1.1875 in,0.75 in,7.41,43.1,340.0 in ** 4,54.6 in ** 3,48.6 in ** 3,5.83 in,23.3 in ** 4,10.6 in ** 3,6.91 in ** 3,1.53 in,0.569 in ** 4,1070.0 in ** 6,22.9 in ** 2,17.6 in ** 4,10.0 in ** 3,26.9 in ** 3,1.8 in,13.5 in,47.0 in,53.7 in,34.8 in,41.5 in,11.625 in,3.5 in
W14X30,W,30.0 plf,8.85 in ** 2,14 in,13.8 in,13.875 in,6.73 in,6.75 in,0.27 in,0.25 in,0.125 in,0.385 in,0.375 in,0.785 in,1.125 in,0.75 in,8.74,45.4,291.0 in ** 4,47.3 in ** 3,42.0 in ** 3,5.73 in,19.6 in ** 4,8.99 in ** 3,5.82 in ** 3,1.49 in,0.38 in ** 4,887.0 in ** 6,22.6 in ** 2,14.6 in ** 4,8.34 in ** 3,23.1 in ** 3,1.77 in,13.4 in,46.6 in,53.3 in,34.3 in,41.1 in,11.625 in,3.5 in
W14X26,W,26.0 plf,7.69 in ** 2,14 in,13.9 in,13.875 in,5.03 in,5.0 in,0.255 in,0.25 in,0.125 in,0.42 in,0.4375 in,0.82 in,1.125 in,0.75 in,5.98,48.1,245.0 in ** 4,40.2 in ** 3,35.3 in ** 3,5.65 in,8.91 in ** 4,5.54 in ** 3,3.55 in ** 3,1.08 in,0.358 in ** 4,405.0 in ** 6,17.0 in ** 2,8.95 in ** 4,6.76 in ** 3,19.7 in ** 3,1.3 in,13.5 in,41.7 in,46.7 in,32.8 in,37.9 in,11.625 in,2.75 in
W14X22,W,22.0 plf,6.49 in ** 2,14 in,13.7 in,13.75 in,5.0 in,5.0 in,0.23 in,0.25 in,0.125 in,0.335 in,0.3125 in,0.735 in,1.0625 in,0.75 in,7.46,53.3,199.0 in ** 4,33.2 in ** 3,29.0 in ** 3,5.54 in,7.0 in ** 4,4.39 in ** 3,2.8 in ** 3,1.04 in,0.208 in ** 4,314.0 in ** 6,16.7 in ** 2,7.0 in ** 4,5.34 in ** 3,16.1 in ** 3,1.27 in,13.4 in,41.3 in,46.3 in,32.4 in,37.4 in,11.625 in,2.75 in
W12X336,W,336.0 plf,98.9 in ** 2,12 in,16.8 in,16.875 in,13.4 in,13.375 in,1.78 in,1.75 in,0.875 in,2.96 in,2.9375 in,3.55 in,3.875 in,1.6875 in,2.26,5.47,4060.0 in ** 4,603.0 in ** 3,483.0 in ** 3,6.41 in,1190.0 in ** 4,274.0 in ** 3,177.0 in ** 3,3.47 in,243.0 in ** 4,57000.0 in ** 6,46.4 in ** 2,460.0 in ** 4,119.0 in ** 3,301.0 in ** 3,4.13 in,13.8 in,69.2 in,82.6 in,47.0 in,60.4 in,9.125 in,5.5 in
W12X305,W,305.0 plf,89.5 in ** 2,12 in,16.3 in,16.375 in,13.2 in,13.25 in,1.63 in,1.625 in,0.8125 in,2.71 in,2.6875 in,3.3 in,3.625 in,1.625 in,2.45,5.98,3550.0 in ** 4,537.0 in ** 3,435.0 in ** 3,6.29 in,1050.0 in ** 4,244.0 in ** 3,159.0 in ** 3,3.42 in,185.0 in ** 4,48600.0 in ** 6,44.8 in ** 2,401.0 in ** 4,107.0 in ** 3,267.0 in ** 3,4.05 in,13.6 in,67.9 in,81.1 in,45.8 in,59.0 in,9.125 in,5.5 in
W12X279,W,279.0 plf,81.9 in ** 2,12 in,15.9 in,15.875 in,13.1 in,13.125 in,1.53 in,1.5 in,0.75 in,2.47 in,2.5 in,3.07 in,3.375 in,1.625 in,2.66,6.35,3110.0 in ** 4,481.0 in ** 3,393.0 in ** 3,6.16 in,937.0 in ** 4,220.0 in ** 3,143.0 in ** 3,3.38 in,143.0 in ** 4,42000.0 in ** 6,44.0 in ** 2,356.0 in ** 4,96.0 in ** 3,240.0 in ** 3,4.0 in,13.4 in,67.0 in,80.1 in,44.9 in,58.0 in,9.125 in,5.5 in
W12X252,W,252.0 plf,74.1 in ** 2,12 in,15.4 in,15.375 in,13.0 in,13.0 in,1.4 in,1.375 in,0.6875 in,2.25 in,2.25 in,2.85 in,3.125 in,1.5 in,2.89,6.96,2720.0 in ** 4,428.0 in ** 3,353.0 in ** 3,6.06 in,828.0 in ** 4,196.0 in ** 3,127.0 in ** 3,3.34 in,108.0 in ** 4,35800.0 in ** 6,42.7 in ** 2,313.0 in ** 4,85.8 in ** 3,213.0 in ** 3,3.93 in,13.2 in,66.0 in,79.0 in,43.8 in,56.8 in,9.125 in,5.5 in
W12X230,W,230.0 plf,67.7 in ** 2,12 in,15.1 in,15.0 in,12.9 in,12.875 in,1.29 in,1.3125 in,0.6875 in,2.07 in,2.0625 in,2.67 in,2.9375 in,1.5 in,3.11,7.56,2420.0 in ** 4,386.0 in ** 3,321.0 in ** 3,5.97 in,742.0 in ** 4,177.0 in ** 3,115.0 in ** 3,3.31 in,83.8 in ** 4,31200.0 in ** 6,42.0 in ** 2,281.0 in ** 4,78.3 in ** 3,193.0 in ** 3,3.87 in,13.0 in,65.3 in,78.2 in,43.1 in,56.0 in,9.125 in,5.5 in
W12X210,W,210.0 plf,61.8 in ** 2,12 in,14.7 in,14.75 in,12.8 in,12.75 in,1.18 in,1.1875 in,0.625 in,1.9 in,1.875 in,2.5 in,2.8125 in,1.4375 in,3.37,8.23,2140.0 in ** 4,348.0 in ** 3,292.0 in ** 3,5.89 in,664.0 in ** 4,159.0 in ** 3,104.0 in ** 3,3.28 in,64.7 in ** 4,27200.0 in ** 6,41.0 in ** 2,249.0 in ** 4,70.6 in ** 3,173.0 in ** 3,3.81 in,12.8 in,64.4 in,77.2 in,42.2 in,55.0 in,9.125 in,5.5 in
W12X190,W,190.0 plf,56.0 in ** 2,12 in,14.4 in,14.375 in,12.7 in,12.625 in,1.06 in,1.0625 in,0.5625 in,1.74 in,1.75 in,2.33 in,2.625 in,1.375 in,3.65,9.16,1890.0 in ** 4,311.0 in ** 3,263.0 in ** 3,5.82 in,589.0 in ** 4,143.0 in ** 3,93.0 in ** 3,3.25 in,48.8 in ** 4,23600.0 in ** 6,40.2 in ** 2,222.0 in ** 4,64.1 in ** 3,156.0 in ** 3,3.77 in,12.7 in,63.8 in,76.5 in,41.5 in,54.2 in,9.125 in,5.5 in
W12X170,W,170.0 plf,50.0 in ** 2,12 in,14.0 in,14.0 in,12.6 in,12.625 in,0.96 in,0.9375 in,0.5 in,1.56 in,1.5625 in,2.16 in,2.4375 in,1.3125 in,4.03,10.1,1650.0 in ** 4,275.0 in ** 3,235.0 in ** 3,5.74 in,517.0 in ** 4,126.0 in ** 3,82.3 in ** 3,3.22 in,35.6 in ** 4,20100.0 in ** 6,39.2 in ** 2,193.0 in ** 4,56.5 in ** 3,136.0 in ** 3,3.7 in,12.4 in,62.9 in,75.5 in,40.6 in,53.2 in,9.125 in,5.5 in
W12X152,W,152.0 plf,44.7 in ** 2,12 in,13.7 in,13.75 in,12.5 in,12.5 in,0.87 in,0.875 in,0.4375 in,1.4 in,1.375 in,2.0 in,2.3125 in,1.25 in,4.46,11.2,1430.0 in ** 4,243.0 in ** 3,209.0 in ** 3,5.66 in,454.0 in ** 4,111.0 in ** 3,72.8 in ** 3,3.19 in,25.8 in ** 4,17200.0 in ** 6,38.4 in ** 2,168.0 in ** 4,50.1 in ** 3,121.0 in ** 3,3.66 in,12.3 in,62.1 in,74.6 in,39.9 in,52.4 in,9.125 in,5.5 in
W12X136,W,136.0 plf,39.9 in ** 2,12 in,13.4 in,13.375 in,12.4 in,12.375 in,0.79 in,0.8125 in,0.4375 in,1.25 in,1.25 in,1.85 in,2.125 in,1.25 in,4.96,12.3,1240.0 in ** 4,214.0 in ** 3,186.0 in ** 3,5.58 in,398.0 in ** 4,98.0 in ** 3,64.2 in ** 3,3.16 in,18.5 in ** 4,14700.0 in ** 6,37.7 in ** 2,146.0 in ** 4,44.1 in ** 3,106.0 in ** 3,3.61 in,12.2 in,61.4 in,73.8 in,39.2 in,51.6 in,9.125 in,5.5 in
W12X120,W,120.0 plf,35.2 in ** 2,12 in,13.1 in,13.125 in,12.3 in,12.375 in,0.71 in,0.6875 in,0.375 in,1.11 in,1.125 in,1.7 in,2.0 in,1.1875 in,5.57,13.7,1070.0 in ** 4,186.0 in ** 3,163.0 in ** 3,5.51 in,345.0 in ** 4,85.4 in ** 3,56.0 in ** 3,3.13 in,12.9 in ** 4,12400.0 in ** 6,36.9 in ** 2,126.0 in ** 4,38.6 in ** 3,92.4 in ** 3,3.56 in,12.0 in,60.7 in,73.0 in,38.5 in,50.8 in,9.125 in,5.5 in
W12X106,W,106.0 plf,31.2 in ** 2,12 in,12.9 in,12.875 in,12.2 in,12.25 in,0.61 in,0.625 in,0.3125 in,0.99 in,1.0 in,1.59 in,1.875 in,1.125 in,6.17,15.9,933.0 in ** 4,164.0 in ** 3,145.0 in ** 3,5.47 in,301.0 in ** 4,75.1 in ** 3,49.3 in ** 3,3.11 in,9.13 in ** 4,10700.0 in ** 6,36.3 in ** 2,110.0 in ** 4,34.2 in ** 3,81.0 in ** 3,3.52 in,11.9 in,60.2 in,72.4 in,38.0 in,50.2 in,9.125 in,5.5 in
W12X96,W,96.0 plf,28.2 in ** 2,12 in,12.7 in,12.75 in,12.2 in,12.125 in,0.55 in,0.5625 in,0.3125 in,0.9 in,0.875 in,1.5 in,1.8125 in,1.125 in,6.76,17.7,833.0 in ** 4,147.0 in ** 3,131.0 in ** 3,5.44 in,270.0 in ** 4,67.5 in ** 3,44.4 in ** 3,3.09 in,6.85 in ** 4,9410.0 in ** 6,36.0 in ** 2,98.8 in ** 4,30.9 in ** 3,73.0 in ** 3,3.49 in,11.8 in,59.9 in,72.1 in,37.6 in,49.8 in,9.125 in,5.5 in
W12X87,W,87.0 plf,25.6 in ** 2,12 in,12.5 in,12.5 in,12.1 in,12.125 in,0.515 in,0.5 in,0.25 in,0.81 in,0.8125 in,1.41 in,1.6875 in,1.0625 in,7.48,18.9,740.0 in ** 4,132.0 in ** 3,118.0 in ** 3,5.38 in,241.0 in ** 4,60.4 in ** 3,39.7 in ** 3,3.07 in,5.1 in ** 4,8270.0 in ** 6,35.4 in ** 2,86.6 in ** 4,27.4 in ** 3,64.9 in ** 3,3.46 in,11.7 in,59.2 in,71.3 in,37.1 in,49.2 in,9.125 in,5.5 in
W12X79,W,79.0 plf,23.2 in ** 2,12 in,12.4 in,12.375 in,12.1 in,12.125 in,0.47 in,0.5 in,0.25 in,0.735 in,0.75 in,1.33 in,1.625 in,1.0625 in,8.22,20.7,662.0 in ** 4,119.0 in ** 3,107.0 in ** 3,5.34 in,216.0 in ** 4,54.3 in ** 3,35.8 in ** 3,3.05 in,3.84 in ** 4,7330.0 in ** 6,35.3 in ** 2,78.5 in ** 4,24.9 in ** 3,58.9 in ** 3,3.43 in,11.7 in,59.1 in,71.2 in,36.9 in,49.0 in,9.125 in,5.5 in
W12X72,W,72.0 plf,21.1 in ** 2,12 in,12.3 in,12.25 in,12.0 in,12.0 in,0.43 in,0.4375 in,0.25 in,0.67 in,0.6875 in,1.27 in,1.5625 in,1.0625 in,8.99,22.6,597.0 in ** 4,108.0 in ** 3,97.4 in ** 3,5.31 in,195.0 in ** 4,49.2 in ** 3,32.4 in ** 3,3.04 in,2.93 in ** 4,6540.0 in ** 6,34.9 in ** 2,70.1 in ** 4,22.5 in ** 3,53.2 in ** 3,3.41 in,11.6 in,58.7 in,70.7 in,36.6 in,48.6 in,9.125 in,5.5 in
W12X65,W,65.0 plf,19.1 in ** 2,12 in,12.1 in,12.125 in,12.0 in,12.0 in,0.39 in,0.375 in,0.1875 in,0.605 in,0.625 in,1.2 in,1.5 in,1.0 in,9.92,24.9,533.0 in ** 4,96.8 in ** 3,87.9 in ** 3,5.28 in,174.0 in ** 4,44.1 in ** 3,29.1 in ** 3,3.02 in,2.18 in ** 4,5780.0 in ** 6,34.5 in ** 2,62.6 in ** 4,20.2 in ** 3,47.5 in ** 3,3.38 in,11.5 in,58.4 in,70.4 in,36.2 in,48.2 in,9.125 in,5.5 in
W12X58,W,58.0 plf,17.0 in ** 2,12 in,12.2 in,12.25 in,10.0 in,10.0 in,0.36 in,0.375 in,0.1875 in,0.64 in,0.625 in,1.24 in,1.5 in,0.9375 in,7.82,27.0,475.0 in ** 4,86.4 in ** 3,78.0 in ** 3,5.28 in,107.0 in ** 4,32.5 in ** 3,21.4 in ** 3,2.51 in,2.1 in ** 4,3570.0 in ** 6,28.9 in ** 2,46.2 in ** 4,17.8 in ** 3,42.4 in ** 3,2.81 in,11.6 in,52.6 in,62.6 in,34.4 in,44.4 in,9.25 in,5.5 in
W12X53,W,53.0 plf,15.6 in ** 2,12 in,12.1 in,12.0 in,10.0 in,10.0 in,0.345 in,0.375 in,0.1875 in,0.575 in,0.5625 in,1.18 in,1.375 in,0.9375 in,8.69,28.1,425.0 in ** 4,77.9 in ** 3,70.6 in ** 3,5.23 in,95.8 in ** 4,29.1 in ** 3,19.2 in ** 3,2.48 in,1.58 in ** 4,3160.0 in ** 6,28.8 in ** 2,41.4 in ** 4,16.0 in ** 3,38.3 in ** 3,2.79 in,11.5 in,52.5 in,62.5 in,34.2 in,44.2 in,9.25 in,5.5 in
W12X50,W,50.0 plf,14.6 in ** 2,12 in,12.2 in,12.25 in,8.08 in,8.125 in,0.37 in,0.375 in,0.1875 in,0.64 in,0.625 in,1.14 in,1.5 in,0.9375 in,6.31,26.8,391.0 in ** 4,71.9 in ** 3,64.2 in ** 3,5.18 in,56.3 in ** 4,21.3 in ** 3,13.9 in ** 3,1.96 in,1.71 in ** 4,1880.0 in ** 6,23.4 in ** 2,30.2 in ** 4,14.3 in ** 3,35.4 in ** 3,2.25 in,11.6 in,47.0 in,55.1 in,32.5 in,40.6 in,9.25 in,5.5 in
