size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,x,e_o,x_p,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,S_w2,S_w3,Q_f,Q_w,r_o,H,r_ts,h_o,P_A,P_B,P_C,P_D,T
C9X20,C,20.0 plf,5.87 in ** 2,9 in,9.0 in,9.0 in,2.65 in,2.625 in,0.448 in,0.4375 in,0.25 in,0.413 in,0.4375 in,1.0 in,1.0 in,0.583 in,0.515 in,0.326 in,6.42,16.2,60.9 in ** 4,16.9 in ** 3,13.5 in ** 3,3.22 in,2.41 in ** 4,2.46 in ** 3,1.17 in ** 3,0.64 in,0.427 in ** 4,39.4 in ** 6,7.24 in ** 2,2.52 in ** 4,2.04 in ** 4,1.01 in ** 4,3.9 in ** 3,8.44 in ** 3,3.46 in,0.899,0.85 in,8.59 in,24.9 in,27.6 in,20.7 in,23.3 in,7.0 in
C9X15,C,15.0 plf,4.4 in ** 2,9 in,9.0 in,9.0 in,2.49 in,2.5 in,0.285 in,0.3125 in,0.1875 in,0.413 in,0.4375 in,1.0 in,1.0 in,0.586 in,0.681 in,0.245 in,6.03,25.4,51.0 in ** 4,13.6 in ** 3,11.3 in ** 3,3.4 in,1.91 in ** 4,2.04 in ** 3,1.01 in ** 3,0.659 in,0.208 in ** 4,31.0 in ** 6,6.54 in ** 2,2.06 in ** 4,1.46 in ** 4,0.705 in ** 4,3.91 in ** 3,6.8 in ** 3,3.69 in,0.882,0.825 in,8.59 in,24.5 in,27.0 in,20.5 in,23.0 in,7.0 in
C9X13.4,C,13.4 plf,3.94 in ** 2,9 in,9.0 in,9.0 in,2.43 in,2.375 in,0.233 in,0.25 in,0.125 in,0.413 in,0.4375 in,1.0 in,1.0 in,0.601 in,0.742 in,0.219 in,5.88,31.1,47.8 in ** 4,12.6 in ** 3,10.6 in ** 3,3.48 in,1.75 in ** 4,1.94 in ** 3,0.954 in ** 3,0.666 in,0.168 in ** 4,28.2 in ** 6,6.25 in ** 2,1.88 in ** 4,1.22 in ** 4,0.625 in ** 4,3.9 in ** 3,6.25 in ** 3,3.79 in,0.875,0.814 in,8.59 in,24.3 in,26.7 in,20.4 in,22.9 in,7.0 in
C8X18.75,C,18.75 plf,5.51 in ** 2,8 in,8.0 in,8.0 in,2.53 in,2.5 in,0.487 in,0.5 in,0.25 in,0.39 in,0.375 in,0.938 in,0.9375 in,0.565 in,0.431 in,0.344 in,6.49,13,43.9 in ** 4,13.9 in ** 3,11.0 in ** 3,2.82 in,1.97 in ** 4,2.17 in ** 3,1.01 in ** 3,0.598 in,0.434 in ** 4,25.1 in ** 6,6.13 in ** 2,1.93 in ** 4,1.59 in ** 4,0.788 in ** 4,3.03 in ** 3,6.93 in ** 3,3.05 in,0.894,0.8 in,7.61 in,22.6 in,25.1 in,18.5 in,21.1 in,6.125 in
C8X13.75,C,13.75 plf,4.03 in ** 2,8 in,8.0 in,8.0 in,2.34 in,2.375 in,0.303 in,0.3125 in,0.1875 in,0.39 in,0.375 in,0.938 in,0.9375 in,0.554 in,0.604 in,0.252 in,6,21,36.1 in ** 4,11.0 in ** 3,9.02 in ** 3,2.99 in,1.52 in ** 4,1.73 in ** 3,0.848 in ** 3,0.613 in,0.186 in ** 4,19.2 in ** 6,5.45 in ** 2,1.52 in ** 4,1.1 in ** 4,0.557 in ** 4,3.02 in ** 3,5.45 in ** 3,3.26 in,0.874,0.774 in,7.61 in,22.1 in,24.4 in,18.3 in,20.7 in,6.125 in
C8X11.5,C,11.5 plf,3.37 in ** 2,8 in,8.0 in,8.0 in,2.26 in,2.25 in,0.22 in,0.25 in,0.125 in,0.39 in,0.375 in,0.938 in,0.9375 in,0.572 in,0.697 in,0.211 in,5.79,28.9,32.5 in ** 4,9.63 in ** 3,8.14 in ** 3,3.11 in,1.31 in ** 4,1.57 in ** 3,0.775 in ** 3,0.623 in,0.13 in ** 4,16.5 in ** 6,5.11 in ** 2,1.34 in ** 4,0.855 in ** 4,0.43 in ** 4,3.03 in ** 3,4.79 in ** 3,3.41 in,0.862,0.756 in,7.61 in,21.9 in,24.1 in,18.3 in,20.5 in,6.125 in
C7X14.75,C,14.75 plf,4.33 in ** 2,7 in,7.0 in,7.0 in,2.3 in,2.25 in,0.419 in,0.4375 in,0.25 in,0.366 in,0.375 in,0.875 in,0.875 in,0.532 in,0.441 in,0.309 in,6.28,12.9,27.2 in ** 4,9.75 in ** 3,7.78 in ** 3,2.51 in,1.37 in ** 4,1.63 in ** 3,0.772 in ** 3,0.561 in,0.267 in ** 4,13.1 in ** 6,4.78 in ** 2,1.26 in ** 4,1.0 in ** 4,0.498 in ** 4,2.28 in ** 3,4.85 in ** 3,2.75 in,0.875,0.738 in,6.63 in,20.0 in,22.3 in,16.3 in,18.6 in,5.25 in
C7X12.25,C,12.25 plf,3.59 in ** 2,7 in,7.0 in,7.0 in,2.19 in,2.25 in,0.314 in,0.3125 in,0.1875 in,0.366 in,0.375 in,0.875 in,0.875 in,0.525 in,0.538 in,0.257 in,5.98,17.3,24.2 in ** 4,8.46 in ** 3,6.92 in ** 3,2.59 in,1.16 in ** 4,1.42 in ** 3,0.696 in ** 3,0.568 in,0.161 in ** 4,11.2 in ** 6,4.44 in ** 2,1.09 in ** 4,0.793 in ** 4,0.406 in ** 4,2.28 in ** 3,4.2 in ** 3,2.86 in,0.862,0.722 in,6.63 in,19.7 in,21.9 in,16.2 in,18.4 in,5.25 in
C7X9.8,C,9.8 plf,2.87 in ** 2,7 in,7.0 in,7.0 in,2.09 in,2.125 in,0.21 in,0.1875 in,0.125 in,0.366 in,0.375 in,0.875 in,0.875 in,0.541 in,0.647 in,0.205 in,5.71,25.8,21.2 in ** 4,7.19 in ** 3,6.07 in ** 3,2.72 in,0.957 in ** 4,1.26 in ** 3,0.617 in ** 3,0.578 in,0.0996 in ** 4,9.15 in ** 6,4.09 in ** 2,0.922 in ** 4,0.579 in ** 4,0.289 in ** 4,2.28 in ** 3,3.57 in ** 3,3.02 in,0.845,0.698 in,6.63 in,19.4 in,21.5 in,16.1 in,18.2 in,5.25 in
C6X13,C,13.0 plf,3.82 in ** 2,6 in,6.0 in,6.0 in,2.16 in,2.125 in,0.437 in,0.4375 in,0.25 in,0.343 in,0.3125 in,0.813 in,0.8125 in,0.514 in,0.38 in,0.318 in,6.3,10.5,17.3 in ** 4,7.29 in ** 3,5.78 in ** 3,2.13 in,1.05 in ** 4,1.35 in ** 3,0.638 in ** 3,0.524 in,0.237 in ** 4,7.19 in ** 6,3.8 in ** 2,0.875 in ** 4,0.702 in ** 4,0.345 in ** 4,1.67 in ** 3,3.64 in ** 3,2.37 in,0.858,0.689 in,5.66 in,17.6 in,19.8 in,14.2 in,16.3 in,4.375 in
C6X10.5,C,10.5 plf,3.07 in ** 2,6 in,6.0 in,6.0 in,2.03 in,2.0 in,0.314 in,0.3125 in,0.1875 in,0.343 in,0.3125 in,0.813 in,0.8125 in,0.5 in,0.486 in,0.256 in,5.92,14.7,15.1 in ** 4,6.18 in ** 3,5.04 in ** 3,2.22 in,0.86 in ** 4,1.14 in ** 3,0.561 in ** 3,0.529 in,0.128 in ** 4,5.91 in ** 6,3.48 in ** 2,0.734 in ** 4,0.534 in ** 4,0.275 in ** 4,1.66 in ** 3,3.08 in ** 3,2.48 in,0.842,0.669 in,5.66 in,17.3 in,19.3 in,14.0 in,16.1 in,4.375 in
C6X8.2,C,8.2 plf,2.39 in ** 2,6 in,6.0 in,6.0 in,1.92 in,1.875 in,0.2 in,0.1875 in,0.125 in,0.343 in,0.3125 in,0.813 in,0.8125 in,0.512 in,0.599 in,0.199 in,5.6,23,13.1 in ** 4,5.16 in ** 3,4.35 in ** 3,2.34 in,0.687 in ** 4,0.987 in ** 3,0.488 in ** 3,0.536 in,0.0736 in ** 4,4.7 in ** 6,3.17 in ** 2,0.61 in ** 4,0.373 in ** 4,0.187 in ** 4,1.67 in ** 3,2.57 in ** 3,2.65 in,0.824,0.643 in,5.66 in,17.0 in,18.9 in,13.9 in,15.8 in,4.375 in
C5X9,C,9.0 plf,2.64 in ** 2,5 in,5.0 in,5.0 in,1.89 in,1.875 in,0.325 in,0.3125 in,0.1875 in,0.32 in,0.3125 in,0.75 in,0.75 in,0.478 in,0.427 in,0.264 in,5.91,11.1,8.89 in ** 4,4.39 in ** 3,3.56 in ** 3,1.84 in,0.624 in ** 4,0.913 in ** 3,0.444 in ** 3,0.486 in,0.109 in ** 4,2.93 in ** 6,2.66 in ** 2,0.485 in ** 4,0.355 in ** 4,0.17 in ** 4,1.17 in ** 3,2.19 in ** 3,2.1 in,0.815,0.616 in,4.68 in,14.9 in,16.8 in,11.9 in,13.8 in,3.5 in
