Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS28X1.000,HSS28.000X1.000,RoundHSS,288.63 plf,79.1 in ** 2,28.0 in,26.14 in,1.0 in,0.93 in,30.1,7250.0 in ** 4,682.0 in ** 3,518.0 in ** 3,9.58 in,7250.0 in ** 4,682.0 in ** 3,518.0 in ** 3,9.58 in,14500.0 in ** 4,1030.0 in ** 3
HSS28X.875,HSS28.000X0.875,RoundHSS,253.72 plf,69.5 in ** 2,28.0 in,26.372 in,0.875 in,0.814 in,34.4,6430.0 in ** 4,602.0 in ** 3,459.0 in ** 3,9.62 in,6430.0 in ** 4,602.0 in ** 3,459.0 in ** 3,9.62 in,12900.0 in ** 4,917.0 in ** 3
HSS28X.750,HSS28.000X0.750,RoundHSS,218.48 plf,59.8 in ** 2,28.0 in,26.604 in,0.75 in,0.698 in,40.1,5580.0 in ** 4,520.0 in ** 3,398.0 in ** 3,9.66 in,5580.0 in ** 4,520.0 in ** 3,398.0 in ** 3,9.66 in,11200.0 in ** 4,796.0 in ** 3
HSS28X.625,HSS28.000X0.625,RoundHSS,182.9 plf,50.1 in ** 2,28.0 in,26.838 in,0.625 in,0.581 in,48.2,4710.0 in ** 4,437.0 in ** 3,336.0 in ** 3,9.7 in,4710.0 in ** 4,437.0 in ** 3,336.0 in ** 3,9.7 in,9410.0 in ** 4,672.0 in ** 3
HSS28X.500,HSS28.000X0.500,RoundHSS,146.99 plf,40.2 in ** 2,28.0 in,27.07 in,0.5 in,0.465 in,60.2,3810.0 in ** 4,353.0 in ** 3,272.0 in ** 3,9.74 in,3810.0 in ** 4,353.0 in ** 3,272.0 in ** 3,9.74 in,7630.0 in ** 4,544.0 in ** 3
HSS28X.375,HSS28.000X0.375,RoundHSS,110.74 plf,30.3 in ** 2,28.0 in,27.302 in,0.375 in,0.349 in,80.3,2900.0 in ** 4,267.0 in ** 3,207.0 in ** 3,9.78 in,2900.0 in ** 4,267.0 in ** 3,207.0 in ** 3,9.78 in,5790.0 in ** 4,414.0 in ** 3
HSS26X.750,HSS26.000X0.750,RoundHSS,202.44 plf,55.4 in ** 2,26.0 in,24.604 in,0.75 in,0.698 in,37.3,4440.0 in ** 4,447.0 in ** 3,342.0 in ** 3,8.95 in,4440.0 in ** 4,447.0 in ** 3,342.0 in ** 3,8.95 in,8880.0 in ** 4,682.0 in ** 3
HSS26X.625,HSS26.000X0.625,RoundHSS,169.54 plf,46.4 in ** 2,26.0 in,24.838 in,0.625 in,0.581 in,44.7,3750.0 in ** 4,376.0 in ** 3,289.0 in ** 3,8.99 in,3750.0 in ** 4,376.0 in ** 3,289.0 in ** 3,8.99 in,7500.0 in ** 4,577.0 in ** 3
HSS26X.500,HSS26.000X0.500,RoundHSS,136.3 plf,37.3 in ** 2,26.0 in,25.07 in,0.5 in,0.465 in,55.9,3040.0 in ** 4,303.0 in ** 3,234.0 in ** 3,9.03 in,3040.0 in ** 4,303.0 in ** 3,234.0 in ** 3,9.03 in,6080.0 in ** 4,468.0 in ** 3
HSS26X.375,HSS26.000X0.375,RoundHSS,102.73 plf,28.1 in ** 2,26.0 in,25.302 in,0.375 in,0.349 in,74.6,2310.0 in ** 4,229.0 in ** 3,178.0 in ** 3,9.07 in,2310.0 in ** 4,229.0 in ** 3,178.0 in ** 3,9.07 in,4620.0 in ** 4,356.0 in ** 3
HSS26X.313,HSS26.000X0.313,RoundHSS,85.81 plf,23.5 in ** 2,26.0 in,25.418 in,0.313 in,0.291 in,89.5,1940.0 in ** 4,192.0 in ** 3,149.0 in ** 3,9.09 in,1940.0 in ** 4,192.0 in ** 3,149.0 in ** 3,9.09 in,3880.0 in ** 4,298.0 in ** 3
HSS24X1.000,HSS24.000X1.000,RoundHSS,245.87 plf,67.4 in ** 2,24.0 in,22.14 in,1.0 in,0.93 in,25.8,4490.0 in ** 4,495.0 in ** 3,374.0 in ** 3,8.16 in,4490.0 in ** 4,495.0 in ** 3,374.0 in ** 3,8.16 in,8980.0 in ** 4,746.0 in ** 3
HSS24X.875,HSS24.000X0.875,RoundHSS,216.31 plf,59.3 in ** 2,24.0 in,22.372 in,0.875 in,0.814 in,29.5,3990.0 in ** 4,438.0 in ** 3,332.0 in ** 3,8.2 in,3990.0 in ** 4,438.0 in ** 3,332.0 in ** 3,8.2 in,7980.0 in ** 4,663.0 in ** 3
HSS24X.750,HSS24.000X0.750,RoundHSS,186.41 plf,51.1 in ** 2,24.0 in,22.604 in,0.75 in,0.698 in,34.4,3470.0 in ** 4,379.0 in ** 3,289.0 in ** 3,8.24 in,3470.0 in ** 4,379.0 in ** 3,289.0 in ** 3,8.24 in,6940.0 in ** 4,577.0 in ** 3
HSS24X.625,HSS24.000X0.625,RoundHSS,156.18 plf,42.8 in ** 2,24.0 in,22.838 in,0.625 in,0.581 in,41.3,2930.0 in ** 4,319.0 in ** 3,244.0 in ** 3,8.28 in,2930.0 in ** 4,319.0 in ** 3,244.0 in ** 3,8.28 in,5870.0 in ** 4,488.0 in ** 3
HSS24X.500,HSS24.000X0.500,RoundHSS,125.61 plf,34.4 in ** 2,24.0 in,23.07 in,0.5 in,0.465 in,51.6,2380.0 in ** 4,258.0 in ** 3,198.0 in ** 3,8.32 in,2380.0 in ** 4,258.0 in ** 3,198.0 in ** 3,8.32 in,4760.0 in ** 4,397.0 in ** 3
HSS24X.375,HSS24.000X0.375,RoundHSS,94.71 plf,25.9 in ** 2,24.0 in,23.302 in,0.375 in,0.349 in,68.8,1810.0 in ** 4,195.0 in ** 3,151.0 in ** 3,8.36 in,1810.0 in ** 4,195.0 in ** 3,151.0 in ** 3,8.36 in,3620.0 in ** 4,302.0 in ** 3
HSS24X.313,HSS24.000X0.313,RoundHSS,79.13 plf,21.6 in ** 2,24.0 in,23.418 in,0.313 in,0.291 in,82.6,1520.0 in ** 4,163.0 in ** 3,127.0 in ** 3,8.38 in,1520.0 in ** 4,163.0 in ** 3,127.0 in ** 3,8.38 in,3040.0 in ** 4,253.0 in ** 3
HSS22X.750,HSS22.000X0.750,RoundHSS,170.37 plf,46.7 in ** 2,22.0 in,20.604 in,0.75 in,0.698 in,31.5,2650.0 in ** 4,317.0 in ** 3,241.0 in ** 3,7.54 in,2650.0 in ** 4,317.0 in ** 3,241.0 in ** 3,7.54 in,5300.0 in ** 4,481.0 in ** 3
HSS22X.625,HSS22.000X0.625,RoundHSS,142.81 plf,39.1 in ** 2,22.0 in,20.838 in,0.625 in,0.581 in,37.8,2240.0 in ** 4,267.0 in ** 3,204.0 in ** 3,7.58 in,2240.0 in ** 4,267.0 in ** 3,204.0 in ** 3,7.58 in,4490.0 in ** 4,408.0 in ** 3
HSS22X.500,HSS22.000X0.500,RoundHSS,114.92 plf,31.5 in ** 2,22.0 in,21.07 in,0.5 in,0.465 in,47.3,1820.0 in ** 4,216.0 in ** 3,166.0 in ** 3,7.62 in,1820.0 in ** 4,216.0 in ** 3,166.0 in ** 3,7.62 in,3650.0 in ** 4,331.0 in ** 3
HSS22X.375,HSS22.000X0.375,RoundHSS,86.69 plf,23.7 in ** 2,22.0 in,21.302 in,0.375 in,0.349 in,63.1,1390.0 in ** 4,163.0 in ** 3,126.0 in ** 3,7.66 in,1390.0 in ** 4,163.0 in ** 3,126.0 in ** 3,7.66 in,2780.0 in ** 4,253.0 in ** 3
HSS22X.313,HSS22.000X0.313,RoundHSS,72.45 plf,19.8 in ** 2,22.0 in,21.418 in,0.313 in,0.291 in,75.7,1170.0 in ** 4,137.0 in ** 3,106.0 in ** 3,7.68 in,1170.0 in ** 4,137.0 in ** 3,106.0 in ** 3,7.68 in,2340.0 in ** 4,212.0 in ** 3
HSS20X1.000,HSS20.000X1.000,RoundHSS,203.11 plf,55.7 in ** 2,20.0 in,18.14 in,1.0 in,0.93 in,21.5,2540.0 in ** 4,338.0 in ** 3,254.0 in ** 3,6.75 in,2540.0 in ** 4,338.0 in ** 3,254.0 in ** 3,6.75 in,5080.0 in ** 4,506.0 in ** 3
HSS20X.875,HSS20.000X0.875,RoundHSS,178.89 plf,49.0 in ** 2,20.0 in,18.372 in,0.875 in,0.814 in,24.6,2260.0 in ** 4,300.0 in ** 3,226.0 in ** 3,6.79 in,2260.0 in ** 4,300.0 in ** 3,226.0 in ** 3,6.79 in,4520.0 in ** 4,451.0 in ** 3
HSS20X.750,HSS20.000X0.750,RoundHSS,154.34 plf,42.3 in ** 2,20.0 in,18.604 in,0.75 in,0.698 in,28.7,1970.0 in ** 4,260.0 in ** 3,197.0 in ** 3,6.83 in,1970.0 in ** 4,260.0 in ** 3,197.0 in ** 3,6.83 in,3940.0 in ** 4,394.0 in ** 3
HSS20X.625,HSS20.000X0.625,RoundHSS,129.45 plf,35.5 in ** 2,20.0 in,18.838 in,0.625 in,0.581 in,34.4,1670.0 in ** 4,219.0 in ** 3,167.0 in ** 3,6.87 in,1670.0 in ** 4,219.0 in ** 3,167.0 in ** 3,6.87 in,3350.0 in ** 4,334.0 in ** 3
HSS20X.500,HSS20.000X0.500,RoundHSS,104.0 plf,28.5 in ** 2,20.0 in,19.07 in,0.5 in,0.465 in,43.0,1360.0 in ** 4,177.0 in ** 3,136.0 in ** 3,6.91 in,1360.0 in ** 4,177.0 in ** 3,136.0 in ** 3,6.91 in,2720.0 in ** 4,272.0 in ** 3
HSS20X.375,HSS20.000X0.375,RoundHSS,78.67 plf,21.5 in ** 2,20.0 in,19.302 in,0.375 in,0.349 in,57.3,1040.0 in ** 4,135.0 in ** 3,104.0 in ** 3,6.95 in,1040.0 in ** 4,135.0 in ** 3,104.0 in ** 3,6.95 in,2080.0 in ** 4,208.0 in ** 3
HSS20X.313,HSS20.000X0.313,RoundHSS,65.77 plf,18.0 in ** 2,20.0 in,19.418 in,0.313 in,0.291 in,68.8,874.0 in ** 4,113.0 in ** 3,87.4 in ** 3,6.97 in,874.0 in ** 4,113.0 in ** 3,87.4 in ** 3,6.97 in,1750.0 in ** 4,175.0 in ** 3
HSS20X.250,HSS20.000X0.250,RoundHSS,52.78 plf,14.4 in ** 2,20.0 in,19.534 in,0.25 in,0.233 in,86.0,705.0 in ** 4,90.9 in ** 3,70.5 in ** 3,6.99 in,705.0 in ** 4,90.9 in ** 3,70.5 in ** 3,6.99 in,1410.0 in ** 4,141.0 in ** 3
HSS18X1.000,HSS18.000X1.000,RoundHSS,181.73 plf,49.9 in ** 2,18.0 in,16.14 in,1.0 in,0.93 in,19.4,1820.0 in ** 4,271.0 in ** 3,202.0 in ** 3,6.04 in,1820.0 in ** 4,271.0 in ** 3,202.0 in ** 3,6.04 in,3640.0 in ** 4,403.0 in ** 3
HSS18X.875,HSS18.000X0.875,RoundHSS,160.19 plf,43.9 in ** 2,18.0 in,16.372 in,0.875 in,0.814 in,22.1,1630.0 in ** 4,241.0 in ** 3,181.0 in ** 3,6.08 in,1630.0 in ** 4,241.0 in ** 3,181.0 in ** 3,6.08 in,3250.0 in ** 4,360.0 in ** 3
HSS18X.750,HSS18.000X0.750,RoundHSS,138.3 plf,37.9 in ** 2,18.0 in,16.604 in,0.75 in,0.698 in,25.8,1420.0 in ** 4,209.0 in ** 3,158.0 in ** 3,6.12 in,1420.0 in ** 4,209.0 in ** 3,158.0 in ** 3,6.12 in,2840.0 in ** 4,315.0 in ** 3
HSS18X.625,HSS18.000X0.625,RoundHSS,116.09 plf,31.8 in ** 2,18.0 in,16.838 in,0.625 in,0.581 in,31.0,1210.0 in ** 4,176.0 in ** 3,134.0 in ** 3,6.16 in,1210.0 in ** 4,176.0 in ** 3,134.0 in ** 3,6.16 in,2420.0 in ** 4,268.0 in ** 3
HSS18X.500,HSS18.000X0.500,RoundHSS,93.54 plf,25.6 in ** 2,18.0 in,17.07 in,0.5 in,0.465 in,38.7,985.0 in ** 4,143.0 in ** 3,109.0 in ** 3,6.2 in,985.0 in ** 4,143.0 in ** 3,109.0 in ** 3,6.2 in,1970.0 in ** 4,219.0 in ** 3
HSS18X.375,HSS18.000X0.375,RoundHSS,70.66 plf,19.4 in ** 2,18.0 in,17.302 in,0.375 in,0.349 in,51.6,754.0 in ** 4,109.0 in ** 3,83.8 in ** 3,6.24 in,754.0 in ** 4,109.0 in ** 3,83.8 in ** 3,6.24 in,1510.0 in ** 4,168.0 in ** 3
HSS18X.313,HSS18.000X0.313,RoundHSS,59.09 plf,16.2 in ** 2,18.0 in,17.418 in,0.313 in,0.291 in,61.9,634.0 in ** 4,91.2 in ** 3,70.4 in ** 3,6.26 in,634.0 in ** 4,91.2 in ** 3,70.4 in ** 3,6.26 in,1270.0 in ** 4,141.0 in ** 3
HSS18X.250,HSS18.000X0.250,RoundHSS,47.44 plf,13.0 in ** 2,18.0 in,17.534 in,0.25 in,0.233 in,77.4,512.0 in ** 4,73.4 in ** 3,56.9 in ** 3,6.28 in,512.0 in ** 4,73.4 in ** 3,56.9 in ** 3,6.28 in,1020.0 in ** 4,114.0 in ** 3
HSS16X1.000,HSS16.000X1.000,RoundHSS,160.35 plf,44.0 in ** 2,16.0 in,14.14 in,1.0 in,0.93 in,17.2,1250.0 in ** 4,211.0 in ** 3,157.0 in ** 3,5.34 in,1250.0 in ** 4,211.0 in ** 3,157.0 in ** 3,5.34 in,2510.0 in ** 4,312.0 in ** 3
HSS16X.875,HSS16.000X0.875,RoundHSS,141.48 plf,38.8 in ** 2,16.0 in,14.372 in,0.875 in,0.814 in,19.7,1120.0 in ** 4,188.0 in ** 3,140.0 in ** 3,5.38 in,1120.0 in ** 4,188.0 in ** 3,140.0 in ** 3,5.38 in,2240.0 in ** 4,279.0 in ** 3
HSS16X.750,HSS16.000X0.750,RoundHSS,122.27 plf,33.5 in ** 2,16.0 in,14.604 in,0.75 in,0.698 in,22.9,984.0 in ** 4,163.0 in ** 3,123.0 in ** 3,5.42 in,984.0 in ** 4,163.0 in ** 3,123.0 in ** 3,5.42 in,1970.0 in ** 4,245.0 in ** 3
HSS16X.625,HSS16.000X0.625,RoundHSS,103.0 plf,28.1 in ** 2,16.0 in,14.838 in,0.625 in,0.581 in,27.5,838.0 in ** 4,138.0 in ** 3,105.0 in ** 3,5.46 in,838.0 in ** 4,138.0 in ** 3,105.0 in ** 3,5.46 in,1680.0 in ** 4,209.0 in ** 3
HSS16X.500,HSS16.000X0.500,RoundHSS,82.85 plf,22.7 in ** 2,16.0 in,15.07 in,0.5 in,0.465 in,34.4,685.0 in ** 4,112.0 in ** 3,85.7 in ** 3,5.49 in,685.0 in ** 4,112.0 in ** 3,85.7 in ** 3,5.49 in,1370.0 in ** 4,171.0 in ** 3
HSS16X.438,HSS16.000X0.438,RoundHSS,72.87 plf,19.9 in ** 2,16.0 in,15.186 in,0.438 in,0.407 in,39.3,606.0 in ** 4,99.0 in ** 3,75.8 in ** 3,5.51 in,606.0 in ** 4,99.0 in ** 3,75.8 in ** 3,5.51 in,1210.0 in ** 4,152.0 in ** 3
HSS16X.375,HSS16.000X0.375,RoundHSS,62.64 plf,17.2 in ** 2,16.0 in,15.302 in,0.375 in,0.349 in,45.8,526.0 in ** 4,85.5 in ** 3,65.7 in ** 3,5.53 in,526.0 in ** 4,85.5 in ** 3,65.7 in ** 3,5.53 in,1050.0 in ** 4,131.0 in ** 3
HSS16X.312,HSS16.000X0.312,RoundHSS,52.32 plf,14.4 in ** 2,16.0 in,15.418 in,0.312 in,0.291 in,55.0,443.0 in ** 4,71.8 in ** 3,55.4 in ** 3,5.55 in,443.0 in ** 4,71.8 in ** 3,55.4 in ** 3,5.55 in,886.0 in ** 4,111.0 in ** 3
HSS16X.250,HSS16.000X0.250,RoundHSS,42.09 plf,11.5 in ** 2,16.0 in,15.534 in,0.25 in,0.233 in,68.7,359.0 in ** 4,57.9 in ** 3,44.8 in ** 3,5.58 in,359.0 in ** 4,57.9 in ** 3,44.8 in ** 3,5.58 in,717.0 in ** 4,89.7 in ** 3
HSS14X1.000,HSS14.000X1.000,RoundHSS,138.97 plf,38.2 in ** 2,14.0 in,12.14 in,1.0 in,0.93 in,15.1,820.0 in ** 4,159.0 in ** 3,117.0 in ** 3,4.63 in,820.0 in ** 4,159.0 in ** 3,117.0 in ** 3,4.63 in,1640.0 in ** 4,232.0 in ** 3
HSS14X.875,HSS14.000X0.875,RoundHSS,122.77 plf,33.7 in ** 2,14.0 in,12.372 in,0.875 in,0.814 in,17.2,735.0 in ** 4,142.0 in ** 3,105.0 in ** 3,4.67 in,735.0 in ** 4,142.0 in ** 3,105.0 in ** 3,4.67 in,1470.0 in ** 4,209.0 in ** 3
HSS14X.750,HSS14.000X0.750,RoundHSS,106.23 plf,29.1 in ** 2,14.0 in,12.604 in,0.75 in,0.698 in,20.1,647.0 in ** 4,124.0 in ** 3,92.4 in ** 3,4.71 in,647.0 in ** 4,124.0 in ** 3,92.4 in ** 3,4.71 in,1290.0 in ** 4,184.0 in ** 3
HSS14X.625,HSS14.000X0.625,RoundHSS,89.36 plf,24.5 in ** 2,14.0 in,12.838 in,0.625 in,0.581 in,24.1,552.0 in ** 4,105.0 in ** 3,78.9 in ** 3,4.75 in,552.0 in ** 4,105.0 in ** 3,78.9 in ** 3,4.75 in,1100.0 in ** 4,158.0 in ** 3
HSS14X.500,HSS14.000X0.500,RoundHSS,72.16 plf,19.8 in ** 2,14.0 in,13.07 in,0.5 in,0.465 in,30.1,453.0 in ** 4,85.2 in ** 3,64.8 in ** 3,4.79 in,453.0 in ** 4,85.2 in ** 3,64.8 in ** 3,4.79 in,907.0 in ** 4,130.0 in ** 3
HSS14X.375,HSS14.000X0.375,RoundHSS,54.62 plf,15.0 in ** 2,14.0 in,13.302 in,0.375 in,0.349 in,40.1,349.0 in ** 4,65.1 in ** 3,49.8 in ** 3,4.83 in,349.0 in ** 4,65.1 in ** 3,49.8 in ** 3,4.83 in,698.0 in ** 4,100.0 in ** 3
HSS14X.312,HSS14.000X0.312,RoundHSS,45.65 plf,12.5 in ** 2,14.0 in,13.418 in,0.312 in,0.291 in,48.1,295.0 in ** 4,54.7 in ** 3,42.1 in ** 3,4.85 in,295.0 in ** 4,54.7 in ** 3,42.1 in ** 3,4.85 in,589.0 in ** 4,84.2 in ** 3
HSS14X.250,HSS14.000X0.250,RoundHSS,36.75 plf,10.1 in ** 2,14.0 in,13.534 in,0.25 in,0.233 in,60.1,239.0 in ** 4,44.2 in ** 3,34.1 in ** 3,4.87 in,239.0 in ** 4,44.2 in ** 3,34.1 in ** 3,4.87 in,478.0 in ** 4,68.2 in ** 3
HSS14X.188,HSS14.000X0.188,RoundHSS,27.69 plf,7.57 in ** 2,14.0 in,13.652 in,0.188 in,0.174 in,80.3,181.0 in ** 4,33.3 in ** 3,25.9 in ** 3,4.89 in,181.0 in ** 4,33.3 in ** 3,25.9 in ** 3,4.89 in,362.0 in ** 4,51.7 in ** 3
HSS13.375X.625,HSS13.375X0.625,RoundHSS,85.19 plf,23.4 in ** 2,13.4 in,12.238 in,0.625 in,0.581 in,23.0,479.0 in ** 4,95.2 in ** 3,71.6 in ** 3,4.53 in,479.0 in ** 4,95.2 in ** 3,71.6 in ** 3,4.53 in,958.0 in ** 4,143.0 in ** 3
HSS13.375X.500,HSS13.375X0.500,RoundHSS,68.82 plf,18.9 in ** 2,13.4 in,12.47 in,0.5 in,0.465 in,28.8,393.0 in ** 4,77.5 in ** 3,58.8 in ** 3,4.57 in,393.0 in ** 4,77.5 in ** 3,58.8 in ** 3,4.57 in,787.0 in ** 4,117.0 in ** 3
HSS13.375X.375,HSS13.375X0.375,RoundHSS,52.11 plf,14.3 in ** 2,13.4 in,12.702 in,0.375 in,0.349 in,38.4,303.0 in ** 4,59.2 in ** 3,45.3 in ** 3,4.61 in,303.0 in ** 4,59.2 in ** 3,45.3 in ** 3,4.61 in,606.0 in ** 4,90.5 in ** 3
HSS13.375X.313,HSS13.375X0.313,RoundHSS,43.64 plf,11.9 in ** 2,13.4 in,12.818 in,0.313 in,0.291 in,46.0,256.0 in ** 4,49.8 in ** 3,38.2 in ** 3,4.63 in,256.0 in ** 4,49.8 in ** 3,38.2 in ** 3,4.63 in,512.0 in ** 4,76.4 in ** 3
HSS13.375X.250,HSS13.375X0.250,RoundHSS,35.08 plf,9.6 in ** 2,13.4 in,12.934 in,0.25 in,0.233 in,57.5,207.0 in ** 4,40.2 in ** 3,31.0 in ** 3,4.65 in,207.0 in ** 4,40.2 in ** 3,31.0 in ** 3,4.65 in,415.0 in ** 4,62.0 in ** 3
HSS13.375X.188,HSS13.375X0.188,RoundHSS,26.43 plf,7.23 in ** 2,13.4 in,13.052 in,0.188 in,0.174 in,76.7,158.0 in ** 4,30.4 in ** 3,23.6 in ** 3,4.67 in,158.0 in ** 4,30.4 in ** 3,23.6 in ** 3,4.67 in,315.0 in ** 4,47.1 in ** 3
HSS12.75X.750,HSS12.750X0.750,RoundHSS,96.21 plf,26.4 in ** 2,12.8 in,11.404 in,0.75 in,0.698 in,18.3,481.0 in ** 4,101.0 in ** 3,75.5 in ** 3,4.27 in,481.0 in ** 4,101.0 in ** 3,75.5 in ** 3,4.27 in,962.0 in ** 4,150.0 in ** 3
HSS12.75X.625,HSS12.750X0.625,RoundHSS,81.01 plf,22.2 in ** 2,12.8 in,11.638 in,0.625 in,0.581 in,21.9,412.0 in ** 4,86.1 in ** 3,64.7 in ** 3,4.31 in,412.0 in ** 4,86.1 in ** 3,64.7 in ** 3,4.31 in,824.0 in ** 4,129.0 in ** 3
HSS12.75X.500,HSS12.750X0.500,RoundHSS,65.48 plf,17.9 in ** 2,12.8 in,11.87 in,0.5 in,0.465 in,27.4,339.0 in ** 4,70.2 in ** 3,53.2 in ** 3,4.35 in,339.0 in ** 4,70.2 in ** 3,53.2 in ** 3,4.35 in,678.0 in ** 4,106.0 in ** 3
HSS12.75X.375,HSS12.750X0.375,RoundHSS,49.61 plf,13.6 in ** 2,12.8 in,12.102 in,0.375 in,0.349 in,36.5,262.0 in ** 4,53.7 in ** 3,41.0 in ** 3,4.39 in,262.0 in ** 4,53.7 in ** 3,41.0 in ** 3,4.39 in,523.0 in ** 4,82.1 in ** 3
HSS12.75X.250,HSS12.750X0.250,RoundHSS,33.41 plf,9.16 in ** 2,12.8 in,12.334 in,0.25 in,0.233 in,54.7,180.0 in ** 4,36.5 in ** 3,28.2 in ** 3,4.43 in,180.0 in ** 4,36.5 in ** 3,28.2 in ** 3,4.43 in,359.0 in ** 4,56.3 in ** 3
HSS12.75X.188,HSS12.750X0.188,RoundHSS,25.18 plf,6.89 in ** 2,12.8 in,12.452 in,0.188 in,0.174 in,73.1,136.0 in ** 4,27.6 in ** 3,21.4 in ** 3,4.45 in,136.0 in ** 4,27.6 in ** 3,21.4 in ** 3,4.45 in,272.0 in ** 4,42.7 in ** 3
HSS12X.625,HSS12.000X0.625,RoundHSS,76.0 plf,20.9 in ** 2,12.0 in,10.838 in,0.625 in,0.581 in,20.6,341.0 in ** 4,75.9 in ** 3,56.8 in ** 3,4.04 in,341.0 in ** 4,75.9 in ** 3,56.8 in ** 3,4.04 in,681.0 in ** 4,113.0 in ** 3
HSS12X.500,HSS12.000X0.500,RoundHSS,61.47 plf,16.9 in ** 2,12.0 in,11.07 in,0.5 in,0.465 in,25.8,281.0 in ** 4,61.9 in ** 3,46.8 in ** 3,4.08 in,281.0 in ** 4,61.9 in ** 3,46.8 in ** 3,4.08 in,561.0 in ** 4,93.3 in ** 3
HSS12X.375,HSS12.000X0.375,RoundHSS,46.6 plf,12.8 in ** 2,12.0 in,11.302 in,0.375 in,0.349 in,34.4,217.0 in ** 4,47.4 in ** 3,36.1 in ** 3,4.12 in,217.0 in ** 4,47.4 in ** 3,36.1 in ** 3,4.12 in,434.0 in ** 4,72.2 in ** 3
HSS12X.250,HSS12.000X0.250,RoundHSS,31.4 plf,8.6 in ** 2,12.0 in,11.534 in,0.25 in,0.233 in,51.6,149.0 in ** 4,32.2 in ** 3,24.8 in ** 3,4.16 in,149.0 in ** 4,32.2 in ** 3,24.8 in ** 3,4.16 in,298.0 in ** 4,49.6 in ** 3
HSS11.75X.625,HSS11.750X0.625,RoundHSS,74.33 plf,20.4 in ** 2,11.8 in,10.638 in,0.625 in,0.581 in,20.2,319.0 in ** 4,72.6 in ** 3,54.3 in ** 3,3.95 in,319.0 in ** 4,72.6 in ** 3,54.3 in ** 3,3.95 in,638.0 in ** 4,108.0 in ** 3
HSS11.75X.500,HSS11.750X0.500,RoundHSS,60.13 plf,16.5 in ** 2,11.8 in,10.87 in,0.5 in,0.465 in,25.3,263.0 in ** 4,59.3 in ** 3,44.7 in ** 3,3.99 in,263.0 in ** 4,59.3 in ** 3,44.7 in ** 3,3.99 in,526.0 in ** 4,89.2 in ** 3
HSS11.75X.375,HSS11.750X0.375,RoundHSS,45.6 plf,12.5 in ** 2,11.8 in,11.102 in,0.375 in,0.349 in,33.7,203.0 in ** 4,45.3 in ** 3,34.6 in ** 3,4.03 in,203.0 in ** 4,45.3 in ** 3,34.6 in ** 3,4.03 in,406.0 in ** 4,69.0 in ** 3
HSS11.75X.337,HSS11.750X0.337,RoundHSS,41.12 plf,11.3 in ** 2,11.8 in,11.174 in,0.337 in,0.313 in,37.5,184.0 in ** 4,41.0 in ** 3,31.4 in ** 3,4.04 in,184.0 in ** 4,41.0 in ** 3,31.4 in ** 3,4.04 in,368.0 in ** 4,62.6 in ** 3
HSS11.75X.250,HSS11.750X0.250,RoundHSS,30.73 plf,8.41 in ** 2,11.8 in,11.334 in,0.25 in,0.233 in,50.5,140.0 in ** 4,30.8 in ** 3,23.8 in ** 3,4.07 in,140.0 in ** 4,30.8 in ** 3,23.8 in ** 3,4.07 in,279.0 in ** 4,47.5 in ** 3
HSS10.75X.625,HSS10.750X0.625,RoundHSS,67.65 plf,18.6 in ** 2,10.8 in,9.638 in,0.625 in,0.581 in,18.5,241.0 in ** 4,60.2 in ** 3,44.8 in ** 3,3.6 in,241.0 in ** 4,60.2 in ** 3,44.8 in ** 3,3.6 in,482.0 in ** 4,89.1 in ** 3
HSS10.75X.500,HSS10.750X0.500,RoundHSS,54.79 plf,15.0 in ** 2,10.8 in,9.87 in,0.5 in,0.465 in,23.1,199.0 in ** 4,49.2 in ** 3,37.0 in ** 3,3.64 in,199.0 in ** 4,49.2 in ** 3,37.0 in ** 3,3.64 in,398.0 in ** 4,74.1 in ** 3
HSS10.75X.375,HSS10.750X0.375,RoundHSS,41.59 plf,11.4 in ** 2,10.8 in,10.102 in,0.375 in,0.349 in,30.8,154.0 in ** 4,37.8 in ** 3,28.7 in ** 3,3.68 in,154.0 in ** 4,37.8 in ** 3,28.7 in ** 3,3.68 in,309.0 in ** 4,57.4 in ** 3
HSS10.75X.313,HSS10.750X0.313,RoundHSS,34.87 plf,9.55 in ** 2,10.8 in,10.218 in,0.313 in,0.291 in,37.0,131.0 in ** 4,31.8 in ** 3,24.3 in ** 3,3.7 in,131.0 in ** 4,31.8 in ** 3,24.3 in ** 3,3.7 in,261.0 in ** 4,48.6 in ** 3
HSS10.75X.250,HSS10.750X0.250,RoundHSS,28.06 plf,7.7 in ** 2,10.8 in,10.334 in,0.25 in,0.233 in,46.1,106.0 in ** 4,25.8 in ** 3,19.8 in ** 3,3.72 in,106.0 in ** 4,25.8 in ** 3,19.8 in ** 3,3.72 in,213.0 in ** 4,39.6 in ** 3
HSS10.75X.188,HSS10.750X0.188,RoundHSS,21.17 plf,5.79 in ** 2,10.8 in,10.452 in,0.188 in,0.174 in,61.6,81.0 in ** 4,19.5 in ** 3,15.1 in ** 3,3.74 in,81.0 in ** 4,19.5 in ** 3,15.1 in ** 3,3.74 in,162.0 in ** 4,30.1 in ** 3
