Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS3.5X.188,HSS3.500X0.188,RoundHSS,6.66 plf,1.82 in ** 2,3.5 in,3.152 in,0.188 in,0.174 in,20.1,2.52 in ** 4,1.93 in ** 3,1.44 in ** 3,1.18 in,2.52 in ** 4,1.93 in ** 3,1.44 in ** 3,1.18 in,5.04 in ** 4,2.88 in ** 3
HSS3.5X.125,HSS3.500X0.125,RoundHSS,4.51 plf,1.23 in ** 2,3.5 in,3.268 in,0.125 in,0.116 in,30.2,1.77 in ** 4,1.33 in ** 3,1.01 in ** 3,1.2 in,1.77 in ** 4,1.33 in ** 3,1.01 in ** 3,1.2 in,3.53 in ** 4,2.02 in ** 3
HSS3X.250,HSS3.000X0.250,RoundHSS,7.35 plf,2.03 in ** 2,3.0 in,2.534 in,0.25 in,0.233 in,12.9,1.95 in ** 4,1.79 in ** 3,1.3 in ** 3,0.982 in,1.95 in ** 4,1.79 in ** 3,1.3 in ** 3,0.982 in,3.9 in ** 4,2.6 in ** 3
HSS3X.216,HSS3.000X0.216,RoundHSS,6.43 plf,1.77 in ** 2,3.0 in,2.598 in,0.216 in,0.201 in,14.9,1.74 in ** 4,1.58 in ** 3,1.16 in ** 3,0.992 in,1.74 in ** 4,1.58 in ** 3,1.16 in ** 3,0.992 in,3.48 in ** 4,2.32 in ** 3
HSS3X.203,HSS3.000X0.203,RoundHSS,6.07 plf,1.67 in ** 2,3.0 in,2.622 in,0.203 in,0.189 in,15.9,1.66 in ** 4,1.5 in ** 3,1.1 in ** 3,0.996 in,1.66 in ** 4,1.5 in ** 3,1.1 in ** 3,0.996 in,3.31 in ** 4,2.21 in ** 3
HSS3X.188,HSS3.000X0.188,RoundHSS,5.65 plf,1.54 in ** 2,3.0 in,2.652 in,0.188 in,0.174 in,17.2,1.55 in ** 4,1.39 in ** 3,1.03 in ** 3,1.0 in,1.55 in ** 4,1.39 in ** 3,1.03 in ** 3,1.0 in,3.1 in ** 4,2.06 in ** 3
HSS3X.152,HSS3.000X0.152,RoundHSS,4.63 plf,1.27 in ** 2,3.0 in,2.718 in,0.152 in,0.141 in,21.3,1.3 in ** 4,1.15 in ** 3,0.865 in ** 3,1.01 in,1.3 in ** 4,1.15 in ** 3,0.865 in ** 3,1.01 in,2.59 in ** 4,1.73 in ** 3
HSS3X.134,HSS3.000X0.134,RoundHSS,4.11 plf,1.12 in ** 2,3.0 in,2.752 in,0.134 in,0.124 in,24.2,1.16 in ** 4,1.03 in ** 3,0.774 in ** 3,1.02 in,1.16 in ** 4,1.03 in ** 3,0.774 in ** 3,1.02 in,2.32 in ** 4,1.55 in ** 3
HSS3X.125,HSS3.000X0.125,RoundHSS,3.84 plf,1.05 in ** 2,3.0 in,2.768 in,0.125 in,0.116 in,25.9,1.09 in ** 4,0.965 in ** 3,0.73 in ** 3,1.02 in,1.09 in ** 4,0.965 in ** 3,0.73 in ** 3,1.02 in,2.19 in ** 4,1.46 in ** 3
HSS2.875X.250,HSS2.875X0.250,RoundHSS,7.02 plf,1.93 in ** 2,2.88 in,2.414 in,0.25 in,0.233 in,12.3,1.7 in ** 4,1.63 in ** 3,1.18 in ** 3,0.938 in,1.7 in ** 4,1.63 in ** 3,1.18 in ** 3,0.938 in,3.4 in ** 4,2.37 in ** 3
